benchmark,object,query size,10%,20%,30%,40%,50%,60%,70%,80%,90%,95%,99%,min,avg,max
PureJdbcBenchmark,SmallBenchmarkObject,00001,18672.00,18752.00,18800.00,18848.00,18896.00,18944.00,18992.00,19072.00,19200.00,19360.00,21936.00,18288.00,19124.91,1632256.00
PureJdbcBenchmark,SmallBenchmarkObject,00010,22416.00,22528.00,22592.00,22656.00,22720.00,22784.00,22864.00,22944.00,23056.00,23168.00,24752.00,21872.00,22910.70,1625088.00
PureJdbcBenchmark,SmallBenchmarkObject,00100,55008.00,55264.00,55488.00,55872.00,56896.00,57120.00,57344.00,57504.00,57728.00,57984.00,64448.00,54016.00,56779.28,1602560.00
PureJdbcBenchmark,SmallBenchmarkObject,01000,370432.00,372736.00,374016.00,376064.00,378880.00,389120.00,392192.00,394496.00,397312.00,399872.00,407040.00,363264.00,383944.95,6098944.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,00001,19408.00,19504.00,19568.00,19632.00,19680.00,19744.00,19824.00,19904.00,20048.00,20240.00,22816.00,18752.00,19930.80,5234688.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,00010,23648.00,23712.00,23776.00,23824.00,23872.00,23920.00,23984.00,24048.00,24144.00,24240.00,26064.00,23040.00,24069.30,1564672.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,00100,61184.00,61312.00,61376.00,61472.00,61536.00,61600.00,61696.00,61792.00,62016.00,62368.00,69632.00,58336.00,61908.03,1769472.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,01000,422144.00,430336.00,430848.00,431616.00,432128.00,432384.00,433152.00,434432.00,438272.00,440576.00,447488.00,400384.00,432500.56,2267136.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,00001,20720.00,20816.00,20880.00,20944.00,21008.00,21056.00,21120.00,21200.00,21328.00,21504.00,23568.00,20048.00,21229.73,5156864.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,00010,24160.00,24256.00,24336.00,24400.00,24480.00,24544.00,24608.00,24704.00,24848.00,24976.00,26768.00,23488.00,24676.52,1631232.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,00100,61984.00,62080.00,62176.00,62240.00,62304.00,62368.00,62464.00,62592.00,62848.00,63776.00,70464.00,59744.00,62716.23,1659904.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,01000,429312.00,431104.00,431872.00,432640.00,433152.00,433920.00,434688.00,435968.00,439552.00,442368.00,449024.00,407296.00,434670.58,2213888.00
DynamicNoAsmJdbcMapperForEachBenchmark,SmallBenchmarkObject,00001,19328.00,19392.00,19440.00,19488.00,19536.00,19584.00,19632.00,19712.00,19824.00,19984.00,22464.00,18848.00,19772.66,1674240.00
DynamicNoAsmJdbcMapperForEachBenchmark,SmallBenchmarkObject,00010,24160.00,24256.00,24336.00,24400.00,24464.00,24544.00,24608.00,24704.00,24848.00,24976.00,26720.00,23504.00,24677.44,1628160.00
DynamicNoAsmJdbcMapperForEachBenchmark,SmallBenchmarkObject,00100,67200.00,67328.00,67456.00,67584.00,67648.00,67776.00,68032.00,68864.00,69376.00,69760.00,75968.00,65792.00,68300.45,1667072.00
DynamicNoAsmJdbcMapperForEachBenchmark,SmallBenchmarkObject,01000,483584.00,485376.00,486400.00,487680.00,488704.00,491264.00,495616.00,502784.00,506112.00,510208.00,516352.00,473344.00,493356.87,2344960.00
RomaBenchmark,SmallBenchmarkObject,00001,21136.00,21248.00,21312.00,21376.00,21440.00,21504.00,21568.00,21664.00,21792.00,21936.00,24208.00,20464.00,21702.36,5337088.00
RomaBenchmark,SmallBenchmarkObject,00010,25376.00,25472.00,25552.00,25616.00,25680.00,25744.00,25808.00,25888.00,26016.00,26128.00,28224.00,24736.00,25905.02,1876992.00
RomaBenchmark,SmallBenchmarkObject,00100,64416.00,64704.00,64960.00,65248.00,65984.00,66304.00,66560.00,66752.00,67008.00,67456.00,74176.00,63296.00,66146.21,2023424.00
RomaBenchmark,SmallBenchmarkObject,01000,446208.00,449792.00,451840.00,455424.00,463104.00,466176.00,468736.00,470528.00,473344.00,477184.00,484608.00,440320.00,461827.49,2519040.00
Sql2OBenchmark,SmallBenchmarkObject,00001,27888.00,27984.00,28048.00,28112.00,28160.00,28224.00,28288.00,28368.00,28512.00,28768.00,31360.00,27104.00,28451.91,1748992.00
Sql2OBenchmark,SmallBenchmarkObject,00010,33696.00,33824.00,33888.00,33952.00,34016.00,34112.00,34176.00,34272.00,34400.00,34560.00,37920.00,32960.00,34306.24,1626112.00
Sql2OBenchmark,SmallBenchmarkObject,00100,93696.00,93888.00,93952.00,94080.00,94144.00,94208.00,94336.00,94464.00,94912.00,96256.00,103296.00,92608.00,94794.96,1771520.00
Sql2OBenchmark,SmallBenchmarkObject,01000,665600.00,666624.00,668160.00,671744.00,679424.00,684544.00,685568.00,687616.00,690688.00,694784.00,705536.00,659456.00,680182.41,2424832.00
HibernateStatefullBenchmark,SmallBenchmarkObject,00001,53440.00,53632.00,53792.00,53952.00,54112.00,54336.00,54784.00,55104.00,55520.00,58208.00,63808.00,52416.00,54860.00,2271232.00
HibernateStatefullBenchmark,SmallBenchmarkObject,00010,76672.00,76928.00,77056.00,77248.00,77440.00,77632.00,77952.00,78336.00,78720.00,81664.00,87360.00,75456.00,78228.04,3618816.00
HibernateStatefullBenchmark,SmallBenchmarkObject,00100,282624.00,283136.00,283648.00,284160.00,284672.00,285184.00,285696.00,286464.00,289024.00,293632.00,297216.00,277760.00,286672.59,2500608.00
HibernateStatefullBenchmark,SmallBenchmarkObject,01000,2351104.00,2357248.00,2359296.00,2363392.00,2365440.00,2369536.00,2371584.00,2375680.00,2383872.00,2394112.00,2447360.00,2287616.00,2377487.18,7815168.00
MyBatisBenchmark,SmallBenchmarkObject,00001,40064.00,40160.00,40224.00,40288.00,40352.00,40416.00,40512.00,40576.00,40768.00,41312.00,48800.00,39360.00,40738.28,1732608.00
MyBatisBenchmark,SmallBenchmarkObject,00010,72896.00,73024.00,73088.00,73216.00,73280.00,73344.00,73472.00,73536.00,73728.00,74176.00,83008.00,71872.00,73816.83,1805312.00
MyBatisBenchmark,SmallBenchmarkObject,00100,385792.00,386560.00,387328.00,387840.00,388352.00,389120.00,389888.00,390912.00,395008.00,398336.00,403200.00,380672.00,390909.27,2238464.00
MyBatisBenchmark,SmallBenchmarkObject,01000,3487744.00,3497984.00,3504128.00,3512320.00,3518464.00,3524608.00,3532800.00,3543040.00,3559424.00,3573760.00,3624960.00,3414016.00,3534006.17,8765440.00
