benchmark,object,query size,10%,20%,30%,40%,50%,60%,70%,80%,90%,95%,99%,min,avg,max
PureJdbcBenchmark,SmallBenchmarkObject,00001,117120.00,117888.00,118336.00,118848.00,119040.00,119296.00,119616.00,120640.00,127744.00,166400.00,175488.00,107904.00,123686.15,5492736.00
PureJdbcBenchmark,SmallBenchmarkObject,00010,140288.00,141056.00,141824.00,142208.00,142976.00,184576.00,185728.00,186752.00,224512.00,288256.00,301568.00,135040.00,171162.99,1468416.00
PureJdbcBenchmark,SmallBenchmarkObject,00100,499712.00,501504.00,503040.00,505088.00,507648.00,510208.00,512512.00,514816.00,518912.00,523008.00,546816.00,332800.00,508375.74,2146304.00
PureJdbcBenchmark,SmallBenchmarkObject,01000,2066432.00,2072576.00,2077696.00,2083840.00,2092032.00,2101248.00,2107392.00,2115584.00,2123776.00,2131968.00,2162688.00,1956864.00,2099787.53,8634368.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,00001,116800.00,117696.00,117952.00,118272.00,118784.00,119104.00,119360.00,120192.00,122432.00,162688.00,173568.00,112384.00,122270.52,5615616.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,00010,140288.00,140928.00,141184.00,141696.00,142592.00,183680.00,185472.00,186752.00,225280.00,289792.00,301568.00,134656.00,170018.38,2164736.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,00100,503552.00,505600.00,507136.00,509440.00,512256.00,514816.00,516608.00,518656.00,522752.00,526848.00,551424.00,334848.00,511874.82,2049024.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,01000,2121728.00,2136064.00,2142208.00,2146304.00,2150400.00,2152448.00,2156544.00,2162688.00,2168832.00,2179072.00,2207744.00,2020352.00,2154826.60,9109504.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,00001,118592.00,119488.00,119808.00,120000.00,120384.00,120960.00,121344.00,122112.00,127424.00,167296.00,215424.00,114240.00,125749.37,1870848.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,00010,141952.00,142592.00,142976.00,143616.00,144128.00,181376.00,187264.00,190464.00,240768.00,295936.00,307200.00,136832.00,174992.68,1571840.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,00100,504064.00,506112.00,507392.00,509184.00,512000.00,514816.00,517120.00,519168.00,523520.00,527872.00,552448.00,335872.00,512377.86,2254848.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,01000,2081792.00,2087936.00,2093056.00,2099200.00,2107392.00,2119680.00,2125824.00,2131968.00,2140160.00,2148352.00,2181120.00,1966080.00,2116887.86,9134080.00
DynamicNoAsmJdbcMapperForEachBenchmark,SmallBenchmarkObject,00001,118784.00,119616.00,119872.00,120256.00,120704.00,121024.00,121280.00,122048.00,124992.00,165632.00,209536.00,113536.00,124651.16,1778688.00
DynamicNoAsmJdbcMapperForEachBenchmark,SmallBenchmarkObject,00010,143232.00,143744.00,144256.00,145024.00,146176.00,187136.00,190208.00,229760.00,296448.00,301312.00,323072.00,137600.00,186584.23,1904640.00
DynamicNoAsmJdbcMapperForEachBenchmark,SmallBenchmarkObject,00100,512512.00,514048.00,515328.00,516864.00,518912.00,521472.00,524032.00,526848.00,530432.00,535040.00,560640.00,345344.00,519848.99,2026496.00
DynamicNoAsmJdbcMapperForEachBenchmark,SmallBenchmarkObject,01000,2197504.00,2205696.00,2211840.00,2215936.00,2217984.00,2222080.00,2226176.00,2230272.00,2238464.00,2250752.00,2279424.00,2093056.00,2224825.29,8179712.00
