"","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: db","Param: limit","Param: useAsm"
"JdbcMapperStatic","avgt",1,100,661614.6538114432,31923.4509018728,"ns/op","MYSQL","100","false"
"JdbcMapperStatic","avgt",1,100,2867544.474977121,13493.649939642997,"ns/op","MYSQL","1000","true"
"JdbcMapperStatic","avgt",1,100,2913358.799636276,13231.740060770893,"ns/op","MYSQL","1000","false"
"BeanPropertyRowMapper","avgt",1,100,304083.25896957936,11988.10521514649,"ns/op","MYSQL","1",""
"BeanPropertyRowMapper","avgt",1,100,466785.51839634666,12104.366674172628,"ns/op","MYSQL","10",""
"BeanPropertyRowMapper","avgt",1,100,1998807.8914279803,24482.248167829184,"ns/op","MYSQL","100",""
"BeanPropertyRowMapper","avgt",1,100,1.4649609799331691E7,212486.7282564225,"ns/op","MYSQL","1000",""
"Roma","avgt",1,100,253860.8731923464,3260.542849057748,"ns/op","MYSQL","1",""
"Roma","avgt",1,100,352882.5799492267,19707.987686414206,"ns/op","MYSQL","10",""
"Roma","avgt",1,100,718077.4722933302,29914.086902781517,"ns/op","MYSQL","100",""
"Roma","avgt",1,100,3231870.3422475453,14406.960297896581,"ns/op","MYSQL","1000",""
"Sql2O","avgt",1,100,260788.27305538478,4417.8922503881995,"ns/op","MYSQL","1",""
"Sql2O","avgt",1,100,368675.8285196496,23217.915490508505,"ns/op","MYSQL","10",""
"Sql2O","avgt",1,100,776665.13621587,26691.398203509463,"ns/op","MYSQL","100",""
"Sql2O","avgt",1,100,3625665.2764843088,15665.358473083194,"ns/op","MYSQL","1000",""
