"","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: db","Param: limit","Param: useAsm"
"JacksonCsvMapper","avgt",1,100,17395.156671369612,106.57287152159384,"ns/op","","1",""
"JacksonCsvMapper","avgt",1,100,23488.504257113324,158.81278233278303,"ns/op","","10",""
"JacksonCsvMapper","avgt",1,100,85877.17666548846,587.550629079811,"ns/op","","100",""
"JacksonCsvMapper","avgt",1,100,760797.2849594295,10505.079888065691,"ns/op","","1000",""
"OpenCsvMapper","avgt",1,100,18065.168352092045,83.70245055935959,"ns/op","","1",""
"OpenCsvMapper","avgt",1,100,30714.933736038332,86.57112682627651,"ns/op","","10",""
"OpenCsvMapper","avgt",1,100,154330.59548567727,774.0556095681056,"ns/op","","100",""
"OpenCsvMapper","avgt",1,100,1431746.0277884803,14272.3914530433,"ns/op","","1000",""
"ReadSfmCsvMapper","avgt",1,100,18167.23080521132,94.0665157756757,"ns/op","","1",""
"ReadSfmCsvMapper","avgt",1,100,22503.024175820992,146.48966071263243,"ns/op","","10",""
"ReadSfmCsvMapper","avgt",1,100,62343.56151012555,621.2490331298054,"ns/op","","100",""
"ReadSfmCsvMapper","avgt",1,100,473925.6126816765,1173.438983140801,"ns/op","","1000",""
"UnivocityCsvMapper","avgt",1,100,5097657.471716956,26058.79870975134,"ns/op","","1",""
"UnivocityCsvMapper","avgt",1,100,5064843.432517651,17857.232756106936,"ns/op","","10",""
"UnivocityCsvMapper","avgt",1,100,5226609.005573076,19713.30184845111,"ns/op","","100",""
"UnivocityCsvMapper","avgt",1,100,6079068.2759307455,23407.895252220973,"ns/op","","1000",""
"JacksonCsvMapper","avgt",1,100,16466.087302378983,93.19730360867516,"ns/op","","1",""
"JacksonCsvMapper","avgt",1,100,21355.36322446863,124.68129524679902,"ns/op","","10",""
"JacksonCsvMapper","avgt",1,100,67077.87219616876,349.79335641024943,"ns/op","","100",""
"JacksonCsvMapper","avgt",1,100,543841.9453135094,1045.0517273844027,"ns/op","","1000",""
"OpenCsvParser","avgt",1,100,17981.33758690803,82.71298594079747,"ns/op","","1",""
"OpenCsvParser","avgt",1,100,26175.492048712178,94.65533957821793,"ns/op","","10",""
"OpenCsvParser","avgt",1,100,109589.0283244398,891.4846031877239,"ns/op","","100",""
"OpenCsvParser","avgt",1,100,1001384.8222617093,3017.831284238572,"ns/op","","1000",""
"ReadSfmCsvParser","avgt",1,100,17694.834273149947,59.11215078828892,"ns/op","","1",""
"ReadSfmCsvParser","avgt",1,100,20858.11274808822,85.12399715534963,"ns/op","","10",""
"ReadSfmCsvParser","avgt",1,100,54716.60924984325,101.47430280286099,"ns/op","","100",""
"ReadSfmCsvParser","avgt",1,100,385868.2652879015,1295.801843412705,"ns/op","","1000",""
"ReadSfmCsvParserCC","avgt",1,100,17414.129525211058,83.83388307688863,"ns/op","","1",""
"ReadSfmCsvParserCC","avgt",1,100,20392.27579874224,73.15928185121297,"ns/op","","10",""
"ReadSfmCsvParserCC","avgt",1,100,44719.92478076319,566.2603501336125,"ns/op","","100",""
"ReadSfmCsvParserCC","avgt",1,100,313604.6156571085,1226.9938011242589,"ns/op","","1000",""
"HibernateStatefull","avgt",1,100,352629.47954768426,6024.375065239204,"ns/op","MYSQL","1",""
"HibernateStatefull","avgt",1,100,428312.5658756654,9305.101247818062,"ns/op","MYSQL","10",""
"HibernateStatefull","avgt",1,100,1011764.1125853817,8359.250606530059,"ns/op","MYSQL","100",""
"HibernateStatefull","avgt",1,100,4664419.993673115,29652.30808670072,"ns/op","MYSQL","1000",""
"MyBatis","avgt",1,100,416355.7355979569,3297.9529121576443,"ns/op","MYSQL","1",""
"MyBatis","avgt",1,100,514411.29922094004,6166.293420692809,"ns/op","MYSQL","10",""
"MyBatis","avgt",1,100,1032436.098809054,16974.912477032445,"ns/op","MYSQL","100",""
"MyBatis","avgt",1,100,5469309.107339164,60704.73138792444,"ns/op","MYSQL","1000",""
"PureJdbc","avgt",1,100,248117.00839814064,2144.852061779444,"ns/op","MYSQL","1",""
"PureJdbc","avgt",1,100,297265.4930267886,3900.26310590617,"ns/op","MYSQL","10",""
"PureJdbc","avgt",1,100,637302.145375968,12857.075049121106,"ns/op","MYSQL","100",""
"PureJdbc","avgt",1,100,2398870.54691612,7764.044580799835,"ns/op","MYSQL","1000",""
"Jooq.testFetchRecord","avgt",1,100,351343.9996486176,1800.3847204265949,"ns/op","MYSQL","1",""
"Jooq.testFetchRecord","avgt",1,100,416971.76247082703,3787.862469977326,"ns/op","MYSQL","10",""
"Jooq.testFetchRecord","avgt",1,100,859513.3303669734,11362.894154354351,"ns/op","MYSQL","100",""
"Jooq.testFetchRecord","avgt",1,100,3343168.522822024,25873.21687605222,"ns/op","MYSQL","1000",""
"Jooq.testSqlSmfMapper","avgt",1,100,356581.84293865244,2035.3808069901352,"ns/op","MYSQL","1",""
"Jooq.testSqlSmfMapper","avgt",1,100,425222.74575538747,3991.214052063823,"ns/op","MYSQL","10",""
"Jooq.testSqlSmfMapper","avgt",1,100,857402.0359692529,12044.877415697307,"ns/op","MYSQL","100",""
"Jooq.testSqlSmfMapper","avgt",1,100,3324799.901464909,14645.006521087445,"ns/op","MYSQL","1000",""
