"","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: db","Param: limit","Param: useAsm"
"JacksonCsvMapper","avgt",1,100.000000,20252.335292,76.207495,"ns/op",,1,
"JacksonCsvMapper","avgt",1,100.000000,27536.949646,114.371827,"ns/op",,10,
"JacksonCsvMapper","avgt",1,100.000000,97310.286287,117.697901,"ns/op",,100,
"JacksonCsvMapper","avgt",1,100.000000,830842.175784,6684.511607,"ns/op",,1000,
"OpenCsvMapper","avgt",1,100.000000,20982.364628,68.462905,"ns/op",,1,
"OpenCsvMapper","avgt",1,100.000000,33255.804188,143.754837,"ns/op",,10,
"OpenCsvMapper","avgt",1,100.000000,155542.978269,791.264478,"ns/op",,100,
"OpenCsvMapper","avgt",1,100.000000,1349212.101914,5218.631021,"ns/op",,1000,
"ReadSfmCsvMapper","avgt",1,100.000000,20735.722587,67.585171,"ns/op",,1,
"ReadSfmCsvMapper","avgt",1,100.000000,25032.375743,100.078752,"ns/op",,10,
"ReadSfmCsvMapper","avgt",1,100.000000,63608.697804,152.697852,"ns/op",,100,
"ReadSfmCsvMapper","avgt",1,100.000000,440062.434709,3383.668110,"ns/op",,1000,
"UnivocityCsvMapper","avgt",1,100.000000,4801511.019808,21706.530835,"ns/op",,1,
"UnivocityCsvMapper","avgt",1,100.000000,4752367.157670,12689.808806,"ns/op",,10,
"UnivocityCsvMapper","avgt",1,100.000000,4880056.270773,15961.459640,"ns/op",,100,
"UnivocityCsvMapper","avgt",1,100.000000,5740586.572584,18485.030842,"ns/op",,1000,
"JacksonCsvParser","avgt",1,100.000000,19660.289560,69.590376,"ns/op",,1,
"JacksonCsvParser","avgt",1,100.000000,25040.623349,75.407144,"ns/op",,10,
"JacksonCsvParser","avgt",1,100.000000,76212.519129,149.660373,"ns/op",,100,
"JacksonCsvParser","avgt",1,100.000000,610920.127709,1193.301936,"ns/op",,1000,
"OpenCsvParser","avgt",1,100.000000,20797.823122,65.193837,"ns/op",,1,
"OpenCsvParser","avgt",1,100.000000,28366.605866,57.444402,"ns/op",,10,
"OpenCsvParser","avgt",1,100.000000,105833.786240,109.289507,"ns/op",,100,
"OpenCsvParser","avgt",1,100.000000,934617.850427,9116.355244,"ns/op",,1000,
"ReadSfmCsvParser","avgt",1,100.000000,20391.329614,99.081876,"ns/op",,1,
"ReadSfmCsvParser","avgt",1,100.000000,23949.488538,91.952453,"ns/op",,10,
"ReadSfmCsvParser","avgt",1,100.000000,59010.002589,112.432987,"ns/op",,100,
"ReadSfmCsvParser","avgt",1,100.000000,421772.893463,2387.677373,"ns/op",,1000,
"ReadSfmCsvParserCC","avgt",1,100.000000,20073.082139,84.792583,"ns/op",,1,
"ReadSfmCsvParserCC","avgt",1,100.000000,23332.041496,63.670047,"ns/op",,10,
"ReadSfmCsvParserCC","avgt",1,100.000000,52420.953558,108.404260,"ns/op",,100,
"ReadSfmCsvParserCC","avgt",1,100.000000,364578.707802,2817.574803,"ns/op",,1000,
"UnivocityParser","avgt",1,100.000000,4249018.871291,8735.108556,"ns/op",,1,
"UnivocityParser","avgt",1,100.000000,4287773.307207,13950.132988,"ns/op",,10,
"UnivocityParser","avgt",1,100.000000,4307247.771237,10073.148709,"ns/op",,100,
"UnivocityParser","avgt",1,100.000000,5118598.955695,11457.503352,"ns/op",,1000,
"HibernateStatefull","avgt",1,100.000000,18550.267510,244.893591,"ns/op",HSQLDB,1,
"HibernateStatefull","avgt",1,100.000000,40932.299571,575.866572,"ns/op",HSQLDB,10,
"HibernateStatefull","avgt",1,100.000000,244279.389044,1229.399730,"ns/op",HSQLDB,100,
"HibernateStatefull","avgt",1,100.000000,2490713.342600,20563.646212,"ns/op",HSQLDB,1000,
"MyBatis","avgt",1,100.000000,19871.160051,300.924973,"ns/op",HSQLDB,1,
"MyBatis","avgt",1,100.000000,51760.211772,299.527702,"ns/op",HSQLDB,10,
"MyBatis","avgt",1,100.000000,352647.917738,2040.693505,"ns/op",HSQLDB,100,
"MyBatis","avgt",1,100.000000,3522459.304750,25905.585759,"ns/op",HSQLDB,1000,
"PureJdbc","avgt",1,100.000000,1939.627570,18.904428,"ns/op",HSQLDB,1,
"PureJdbc","avgt",1,100.000000,4995.581135,17.027247,"ns/op",HSQLDB,10,
"PureJdbc","avgt",1,100.000000,34965.903518,77.424154,"ns/op",HSQLDB,100,
"PureJdbc","avgt",1,100.000000,337038.908321,577.101390,"ns/op",HSQLDB,1000,
"Jooq.testFetchRecord","avgt",1,100.000000,29416.022930,321.333425,"ns/op",HSQLDB,1,
"Jooq.testFetchRecord","avgt",1,100.000000,42991.714364,123.397008,"ns/op",HSQLDB,10,
"Jooq.testFetchRecord","avgt",1,100.000000,172787.879255,1616.262278,"ns/op",HSQLDB,100,
"Jooq.testFetchRecord","avgt",1,100.000000,1535469.663230,22322.772977,"ns/op",HSQLDB,1000,
"Jooq.testSqlSfmAsProviderMapper","avgt",1,100.000000,30560.175225,522.308209,"ns/op",HSQLDB,1,
"Jooq.testSqlSfmAsProviderMapper","avgt",1,100.000000,45251.594435,450.404219,"ns/op",HSQLDB,10,
"Jooq.testSqlSfmAsProviderMapper","avgt",1,100.000000,184276.102843,1304.162287,"ns/op",HSQLDB,100,
"Jooq.testSqlSfmAsProviderMapper","avgt",1,100.000000,1643352.832722,15084.587717,"ns/op",HSQLDB,1000,
"Jooq.testSqlSfmMapperOnResultSet","avgt",1,100.000000,25861.409370,227.418720,"ns/op",HSQLDB,1,
"Jooq.testSqlSfmMapperOnResultSet","avgt",1,100.000000,29467.994922,289.322193,"ns/op",HSQLDB,10,
"Jooq.testSqlSfmMapperOnResultSet","avgt",1,100.000000,65221.775168,171.823682,"ns/op",HSQLDB,100,
"Jooq.testSqlSfmMapperOnResultSet","avgt",1,100.000000,428716.651986,1378.792349,"ns/op",HSQLDB,1000,
"Jooq.testSqlWithJooqMapper","avgt",1,100.000000,34696.849537,437.619924,"ns/op",HSQLDB,1,
"Jooq.testSqlWithJooqMapper","avgt",1,100.000000,54742.122431,303.878679,"ns/op",HSQLDB,10,
"Jooq.testSqlWithJooqMapper","avgt",1,100.000000,255900.995966,2718.853776,"ns/op",HSQLDB,100,
"Jooq.testSqlWithJooqMapper","avgt",1,100.000000,2311641.590759,11916.221151,"ns/op",HSQLDB,1000,
"JdbcMapperDynamic","avgt",1,100.000000,2186.053935,11.296038,"ns/op",HSQLDB,1,true
"JdbcMapperDynamic","avgt",1,100.000000,2492.820376,17.981554,"ns/op",HSQLDB,1,false
"JdbcMapperDynamic","avgt",1,100.000000,6251.028173,20.287315,"ns/op",HSQLDB,10,true
"JdbcMapperDynamic","avgt",1,100.000000,8386.352643,35.412297,"ns/op",HSQLDB,10,false
"JdbcMapperDynamic","avgt",1,100.000000,46833.938289,79.265470,"ns/op",HSQLDB,100,true
"JdbcMapperDynamic","avgt",1,100.000000,67242.849552,192.083400,"ns/op",HSQLDB,100,false
"JdbcMapperDynamic","avgt",1,100.000000,448908.919269,870.332671,"ns/op",HSQLDB,1000,true
"JdbcMapperDynamic","avgt",1,100.000000,649362.209956,1248.212639,"ns/op",HSQLDB,1000,false
"JdbcMapperDynamicForEach","avgt",1,100.000000,2201.065987,10.682932,"ns/op",HSQLDB,1,true
"JdbcMapperDynamicForEach","avgt",1,100.000000,2488.008701,19.390563,"ns/op",HSQLDB,1,false
"JdbcMapperDynamicForEach","avgt",1,100.000000,5508.136236,24.003215,"ns/op",HSQLDB,10,true
"JdbcMapperDynamicForEach","avgt",1,100.000000,7478.638741,27.000583,"ns/op",HSQLDB,10,false
"JdbcMapperDynamicForEach","avgt",1,100.000000,37421.142525,85.431825,"ns/op",HSQLDB,100,true
"JdbcMapperDynamicForEach","avgt",1,100.000000,57989.958077,126.938837,"ns/op",HSQLDB,100,false
"JdbcMapperDynamicForEach","avgt",1,100.000000,360731.243079,1208.720828,"ns/op",HSQLDB,1000,true
"JdbcMapperDynamicForEach","avgt",1,100.000000,559991.844953,2542.384734,"ns/op",HSQLDB,1000,false
"JdbcMapperStatic","avgt",1,100.000000,1960.223166,11.660578,"ns/op",HSQLDB,1,true
"JdbcMapperStatic","avgt",1,100.000000,2226.903846,14.345518,"ns/op",HSQLDB,1,false
"JdbcMapperStatic","avgt",1,100.000000,5276.802348,24.922912,"ns/op",HSQLDB,10,true
"JdbcMapperStatic","avgt",1,100.000000,7262.293605,20.174232,"ns/op",HSQLDB,10,false
"JdbcMapperStatic","avgt",1,100.000000,37651.085440,60.978454,"ns/op",HSQLDB,100,true
"JdbcMapperStatic","avgt",1,100.000000,57150.349450,131.116083,"ns/op",HSQLDB,100,false
"JdbcMapperStatic","avgt",1,100.000000,359125.716531,939.860170,"ns/op",HSQLDB,1000,true
"JdbcMapperStatic","avgt",1,100.000000,554977.236921,1940.836387,"ns/op",HSQLDB,1000,false
