Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: db,Param: limit,Param: useAsm
BeanPropertyRowMapper,avgt,1,100,313943.035,14430.63395,ns/op,MYSQL,1,
BeanPropertyRowMapper,avgt,1,100,487354.1657,19617.60989,ns/op,MYSQL,10,
BeanPropertyRowMapper,avgt,1,100,1885612.414,35437.94529,ns/op,MYSQL,100,
BeanPropertyRowMapper,avgt,1,100,1.44E+07,191056.7853,ns/op,MYSQL,1000,
Roma,avgt,1,100,251789.4644,4033.594034,ns/op,MYSQL,1,
Roma,avgt,1,100,333924.3264,17753.11237,ns/op,MYSQL,10,
Roma,avgt,1,100,657748.4322,40821.44299,ns/op,MYSQL,100,
Roma,avgt,1,100,2509581.206,14636.23429,ns/op,MYSQL,1000,
Sql2O,avgt,1,100,259805.9314,3957.281088,ns/op,MYSQL,1,
Sql2O,avgt,1,100,340507.8058,18027.71923,ns/op,MYSQL,10,
Sql2O,avgt,1,100,768398.6794,39313.57143,ns/op,MYSQL,100,
Sql2O,avgt,1,100,2907509.625,16232.31421,ns/op,MYSQL,1000,
