"Benchmark","QuerySize","Median","Error (99.9%)","Samples"
PureJdbc,"1",238089.88615969368,342.2560065800468,461471
PureJdbc,"10",306890.69937718194,660.1300571011709,358050
PureJdbc,"100",678870.1163916609,1842.693071670052,161936
PureJdbc,"1000",2850504.533665189,2832.4335661318946,38571
JdbcMapperStatic,"1",238752.70628065304,320.76772596973905,460191
JdbcMapperStatic,"10",310156.4583993113,678.8073950665538,354285
JdbcMapperStatic,"100",686518.7639620061,1877.1963991559176,160131
JdbcMapperStatic,"1000",2850682.0965960645,3095.0995441452314,38573
JdbcMapperDynamic,"1",242150.50324855643,334.00120480099946,453740
JdbcMapperDynamic,"10",317916.93059372884,697.8823118333888,345646
JdbcMapperDynamic,"100",702204.564471726,1906.8942491314992,156557
JdbcMapperDynamic,"1000",2988527.469507555,3458.80240384714,36796
JdbcMapperDynamicNoAsm,"1",240798.19550190453,312.588262918877,456282
JdbcMapperDynamicNoAsm,"10",306800.5015146058,657.5736882685396,358179
JdbcMapperDynamicNoAsm,"100",707209.6422000644,1915.278034514111,155450
JdbcMapperDynamicNoAsm,"1000",3011820.316322897,3092.488751664273,36507
Roma,"1",251969.1771073175,369.8784197913521,436052
Roma,"10",341978.8406498853,955.8299684427765,321349
Roma,"100",735821.9698910911,1966.4784584136578,149391
Roma,"1000",3216272.9768421054,3208.4030713035118,34200
Sql2o,"1",257532.65787405177,343.05823119784793,426191
Sql2o,"10",378673.41172740585,1173.9690408934794,290175
Sql2o,"100",811511.9831683388,2028.039318798228,135459
Sql2o,"1000",3641109.241507185,4012.761722250184,30202
Jooq,"1",257532.65787405177,343.05823119784793,426191
Jooq,"10",378673.41172740585,1173.9690408934794,290175
Jooq,"100",811511.9831683388,2028.039318798228,135459
Jooq,"1000",3641109.241507185,4012.761722250184,30202
Hibernate,"1",328135.75090209575,664.4763641704362,334776
Hibernate,"10",395720.443698641,881.7837531449874,277702
Hibernate,"100",1141156.1012011669,2611.615722819259,96323
Hibernate,"1000",5580965.392238322,9575.600474400138,19738
MyBatis,"1",419725.9625875541,972.6305275160181,261838
MyBatis,"10",534014.3506981897,1339.1173391325128,205818
MyBatis,"100",1244385.342115389,3229.200574466192,88362
MyBatis,"1000",7673282.217954071,13834.444787382388,14370
RowMapper,"1",309429.1350610074,650.5293239260751,355121
RowMapper,"10",484615.9672334966,1223.0651320540017,226817
RowMapper,"100",2069530.7247718505,3941.538977566218,53145
RowMapper,"1000",1.5017916214867065E7,34654.13466852574,7372
