"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: db","Param: limit","Param: useAsm"
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,17133.148235,102.431137,"ns/op",,1,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,23628.178796,140.331570,"ns/op",,10,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,86167.041213,483.878086,"ns/op",,100,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,740799.728247,5627.775020,"ns/op",,1000,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,17890.675213,91.598820,"ns/op",,1,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,30207.965713,120.832533,"ns/op",,10,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,153732.390466,837.159280,"ns/op",,100,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,1388983.299042,20141.298516,"ns/op",,1000,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,17827.023028,59.018835,"ns/op",,1,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,22195.321719,95.478839,"ns/op",,10,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,61368.669423,798.659562,"ns/op",,100,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,499023.721797,5894.419385,"ns/op",,1000,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testUnivocityCsvMapper","avgt",1,100.000000,4693613.114002,35025.618492,"ns/op",,1,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testUnivocityCsvMapper","avgt",1,100.000000,4545267.370661,12761.252323,"ns/op",,10,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testUnivocityCsvMapper","avgt",1,100.000000,4666369.491522,14229.412919,"ns/op",,100,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testUnivocityCsvMapper","avgt",1,100.000000,5549024.921810,17497.676427,"ns/op",,1000,
"org.sfm.benchmark.csv.CsvParserBenchmark.testJacksonCsvParser","avgt",1,100.000000,16616.076122,86.550320,"ns/op",,1,
"org.sfm.benchmark.csv.CsvParserBenchmark.testJacksonCsvParser","avgt",1,100.000000,21343.004283,102.741922,"ns/op",,10,
"org.sfm.benchmark.csv.CsvParserBenchmark.testJacksonCsvParser","avgt",1,100.000000,66814.843493,446.875722,"ns/op",,100,
"org.sfm.benchmark.csv.CsvParserBenchmark.testJacksonCsvParser","avgt",1,100.000000,543104.076753,2039.062957,"ns/op",,1000,
"org.sfm.benchmark.csv.CsvParserBenchmark.testOpenCsvParser","avgt",1,100.000000,17909.766068,54.961327,"ns/op",,1,
"org.sfm.benchmark.csv.CsvParserBenchmark.testOpenCsvParser","avgt",1,100.000000,25944.681112,105.575394,"ns/op",,10,
"org.sfm.benchmark.csv.CsvParserBenchmark.testOpenCsvParser","avgt",1,100.000000,108066.990377,305.101010,"ns/op",,100,
"org.sfm.benchmark.csv.CsvParserBenchmark.testOpenCsvParser","avgt",1,100.000000,989767.359362,10820.876649,"ns/op",,1000,
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParser","avgt",1,100.000000,17319.326004,59.284182,"ns/op",,1,
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParser","avgt",1,100.000000,20638.951771,86.322660,"ns/op",,10,
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParser","avgt",1,100.000000,54942.618692,227.989677,"ns/op",,100,
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParser","avgt",1,100.000000,389790.783290,3558.283727,"ns/op",,1000,
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParserCC","avgt",1,100.000000,17182.143099,70.803980,"ns/op",,1,
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParserCC","avgt",1,100.000000,19997.830591,73.365147,"ns/op",,10,
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParserCC","avgt",1,100.000000,44346.397823,442.039988,"ns/op",,100,
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParserCC","avgt",1,100.000000,309280.674616,719.134398,"ns/op",,1000,
"org.sfm.benchmark.csv.CsvParserBenchmark.testUnivocityParser","avgt",1,100.000000,4226572.325014,30506.698479,"ns/op",,1,
"org.sfm.benchmark.csv.CsvParserBenchmark.testUnivocityParser","avgt",1,100.000000,4149827.147133,10214.918269,"ns/op",,10,
"org.sfm.benchmark.csv.CsvParserBenchmark.testUnivocityParser","avgt",1,100.000000,4249857.093481,12387.696542,"ns/op",,100,
"org.sfm.benchmark.csv.CsvParserBenchmark.testUnivocityParser","avgt",1,100.000000,5123054.429988,11892.196718,"ns/op",,1000,
"org.sfm.benchmark.db.hibernate.HibernateStatefullBenchmark.testQuery","avgt",1,100.000000,349395.379084,3638.115193,"ns/op",MYSQL,1,
"org.sfm.benchmark.db.hibernate.HibernateStatefullBenchmark.testQuery","avgt",1,100.000000,402639.137392,5401.751483,"ns/op",MYSQL,10,
"org.sfm.benchmark.db.hibernate.HibernateStatefullBenchmark.testQuery","avgt",1,100.000000,850161.784834,17774.539234,"ns/op",MYSQL,100,
"org.sfm.benchmark.db.hibernate.HibernateStatefullBenchmark.testQuery","avgt",1,100.000000,4712083.247356,36996.969854,"ns/op",MYSQL,1000,
"org.sfm.benchmark.db.ibatis.MyBatisBenchmark.testQuery","avgt",1,100.000000,398022.989484,4788.070919,"ns/op",MYSQL,1,
"org.sfm.benchmark.db.ibatis.MyBatisBenchmark.testQuery","avgt",1,100.000000,463512.854342,7021.336490,"ns/op",MYSQL,10,
"org.sfm.benchmark.db.ibatis.MyBatisBenchmark.testQuery","avgt",1,100.000000,919495.437982,11110.017090,"ns/op",MYSQL,100,
"org.sfm.benchmark.db.ibatis.MyBatisBenchmark.testQuery","avgt",1,100.000000,5127281.651469,52354.146451,"ns/op",MYSQL,1000,
"org.sfm.benchmark.db.jdbc.PureJdbcBenchmark.testQuery","avgt",1,100.000000,233507.301623,2078.572941,"ns/op",MYSQL,1,
"org.sfm.benchmark.db.jdbc.PureJdbcBenchmark.testQuery","avgt",1,100.000000,264286.655817,2826.153230,"ns/op",MYSQL,10,
"org.sfm.benchmark.db.jdbc.PureJdbcBenchmark.testQuery","avgt",1,100.000000,524921.851978,13252.486868,"ns/op",MYSQL,100,
"org.sfm.benchmark.db.jdbc.PureJdbcBenchmark.testQuery","avgt",1,100.000000,2341784.095446,10029.692531,"ns/op",MYSQL,1000,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testFetchRecord","avgt",1,100.000000,337182.628618,1422.877883,"ns/op",MYSQL,1,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testFetchRecord","avgt",1,100.000000,380967.641294,3129.191565,"ns/op",MYSQL,10,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testFetchRecord","avgt",1,100.000000,746254.476859,13135.293061,"ns/op",MYSQL,100,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testFetchRecord","avgt",1,100.000000,3224288.865487,13310.954718,"ns/op",MYSQL,1000,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmAsProviderMapper","avgt",1,100.000000,338241.371482,1184.343529,"ns/op",MYSQL,1,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmAsProviderMapper","avgt",1,100.000000,384833.997049,4129.589518,"ns/op",MYSQL,10,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmAsProviderMapper","avgt",1,100.000000,759185.762170,14235.337331,"ns/op",MYSQL,100,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmAsProviderMapper","avgt",1,100.000000,3346585.843199,13651.321015,"ns/op",MYSQL,1000,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmMapperOnResultSet","avgt",1,100.000000,334253.531972,1420.061825,"ns/op",MYSQL,1,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmMapperOnResultSet","avgt",1,100.000000,360635.715211,1928.671853,"ns/op",MYSQL,10,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmMapperOnResultSet","avgt",1,100.000000,655937.813666,13665.845143,"ns/op",MYSQL,100,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmMapperOnResultSet","avgt",1,100.000000,2599458.458149,17390.327180,"ns/op",MYSQL,1000,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlWithJooqMapper","avgt",1,100.000000,341969.095836,1299.126228,"ns/op",MYSQL,1,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlWithJooqMapper","avgt",1,100.000000,397881.545188,3886.921227,"ns/op",MYSQL,10,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlWithJooqMapper","avgt",1,100.000000,841128.470619,14778.869898,"ns/op",MYSQL,100,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlWithJooqMapper","avgt",1,100.000000,3907384.829702,17632.785232,"ns/op",MYSQL,1000,
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,236102.812870,2062.678247,"ns/op",MYSQL,1,true
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,236381.825897,1826.398557,"ns/op",MYSQL,1,false
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,281028.329800,5186.443358,"ns/op",MYSQL,10,true
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,284984.571886,5018.357639,"ns/op",MYSQL,10,false
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,539385.966073,12157.935492,"ns/op",MYSQL,100,true
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,571207.061617,11366.826757,"ns/op",MYSQL,100,false
