Benchmark,QuerySize,Median,Error (99.9%),Samples
PureJdbc,1,242343.7821,379.7252786,453388
PureJdbc,10,307934.0177,671.7064418,356847
PureJdbc,100,687904.5599,1889.485179,159812
PureJdbc,1000,2861315.984,2469.08944,38426
JdbcMapperStatic,1,239675.285,343.5059664,458438
JdbcMapperStatic,10,310621.2056,694.9011599,353767
JdbcMapperStatic,100,688942.1291,1907.895784,159569
JdbcMapperStatic,1000,2870021.827,2692.216444,38312
JdbcMapperDynamic,1,241733.6311,347.579226,454539
JdbcMapperDynamic,10,319126.5545,715.7886668,344351
JdbcMapperDynamic,100,693545.2492,1897.653342,158506
JdbcMapperDynamic,1000,2958787.045,3381.811181,37160
JdbcMapperDynamicNoAsm,1,241062.4397,334.7581649,455802
JdbcMapperDynamicNoAsm,10,313130.5643,684.3774312,350930
JdbcMapperDynamicNoAsm,100,693644.682,1891.481429,158491
JdbcMapperDynamicNoAsm,1000,3023327.537,3425.418887,36370
Roma,1,248626.4206,337.6695578,441892
Roma,10,350590.2048,996.3171145,313448
Roma,100,740671.7521,2001.649997,148427
Roma,1000,3205414.26,3131.021242,34312
Sql2o,1,257373.91,375.8052071,426883
Sql2o,10,368175.7566,1120.33749,298447
Sql2o,100,814331.4738,2037.774894,135007
Sql2o,1000,3575637.727,5246.046118,30767
Jooq,1,349601.9061,559.004823,314310
Jooq,10,456550.3226,1036.041313,240742
Jooq,100,1014532.809,2667.765354,108392
Jooq,1000,4646247.377,7587.871704,23684
JooqWithSfm,1,355894.3921,616.9332739,308760
JooqWithSfm,10,441656.4228,1030.520525,248846
JooqWithSfm,100,1021230.782,2666.25449,107665
JooqWithSfm,1000,4618012.12,7992.988957,23834
Hibernate,1,330207.0672,708.3722386,332717
Hibernate,10,405286.7176,911.0790477,271151
Hibernate,100,1136275.952,2522.287379,96713
Hibernate,1000,5663269.566,10253.03078,19449
MyBatis,1,429102.0909,1087.558861,256117
MyBatis,10,532997.3056,1419.24969,206223
MyBatis,100,1246268.144,3268.35375,88160
MyBatis,1000,7503651.8,14040.14196,14695
RowMapper,1,315903.3134,719.3331915,347861
RowMapper,10,487200.7077,1237.656575,225618
RowMapper,100,2048598.597,3911.627019,53691
RowMapper,1000,1.45E+07,27454.58541,7604
