"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: classType","Param: limit","Param: methodSize","Param: objectSize","Param: useAsm"
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,359839.360210,1967.618932,"ns/op",GS,1000,,2,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,769133.142367,1947.289449,"ns/op",GS,1000,,4,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,1580560.719796,3473.881837,"ns/op",GS,1000,,8,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,3164239.018773,7058.147527,"ns/op",GS,1000,,16,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,6542662.237973,25701.680071,"ns/op",GS,1000,,32,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,14195841.510666,65463.586447,"ns/op",GS,1000,,64,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,31273393.111430,103775.204348,"ns/op",GS,1000,,128,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,77534554.641923,434155.545067,"ns/op",GS,1000,,256,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,283696104.408333,7730127.273377,"ns/op",GS,1000,,512,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,1235754801.180000,19104609.846920,"ns/op",GS,1000,,1024,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,2394073330.950000,21371900.166111,"ns/op",GS,1000,,2048,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,5780059084.610000,59856049.444058,"ns/op",GS,1000,,4096,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,20278104649.690000,116463949.579467,"ns/op",GS,1000,,8192,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,1119192.737756,7159.892644,"ns/op",GS,1000,,2,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,2240852.555319,15439.131538,"ns/op",GS,1000,,4,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,4178293.014487,19070.997257,"ns/op",GS,1000,,8,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,8794294.897889,39153.522010,"ns/op",GS,1000,,16,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,17622318.044158,50423.327983,"ns/op",GS,1000,,32,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,35913110.339113,125674.551712,"ns/op",GS,1000,,64,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,77305874.284890,328135.075537,"ns/op",GS,1000,,128,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,178959386.085000,685122.391284,"ns/op",GS,1000,,256,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,403589686.443333,13097629.028146,"ns/op",GS,1000,,512,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,1233683178.160000,19764300.720284,"ns/op",GS,1000,,1024,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,3550164836.140000,24996712.070934,"ns/op",GS,1000,,2048,
