"Benchmark","QuerySize","Median","Error (99.9%)","Samples"
PureJdbc,"1",2271.5442124615283,17.265825905896094,1562184
PureJdbc,"10",5492.008184732084,33.36679374035155,1268215
PureJdbc,"100",37145.276596896474,69.63258447690967,1477804
PureJdbc,"1000",356668.5055561325,473.6458041848786,308128
JdbcMapperStatic,"1",2306.2506991460464,16.712655759717723,1562263
JdbcMapperStatic,"10",5846.1416446042995,27.046053419307324,1188298
JdbcMapperStatic,"100",39079.49326086477,77.87433643372972,1405299
JdbcMapperStatic,"1000",372338.3806168356,480.9236421397755,295184
JdbcMapperDynamic,"1",2663.673434056098,18.654260732732805,1323898
JdbcMapperDynamic,"10",6822.233607022293,40.71094284226376,1022572
JdbcMapperDynamic,"100",48226.52711083346,94.59176521692262,1139692
JdbcMapperDynamic,"1000",462779.8359264498,467.5268977152423,237552
JdbcMapperDynamicNoAsm,"1",2739.679050638639,21.247734221574,1292827
JdbcMapperDynamicNoAsm,"10",7870.657969982608,32.22305830924815,1764044
JdbcMapperDynamicNoAsm,"100",59137.68778964255,81.79703523222656,1856383
JdbcMapperDynamicNoAsm,"1000",565398.5274995499,721.9565453223183,194385
Roma,"1",3160.548955747905,25.53293778159368,1117642
Roma,"10",7268.669214141945,29.676119210122934,1908818
Roma,"100",46548.30807725495,92.36666007810898,1179782
Roma,"1000",434803.37896964303,528.4991572538873,252825
Sql2o,"1",7292.45052242973,27.12263241757987,1903701
Sql2o,"10",12930.75291901895,47.357313859838015,1067225
Sql2o,"100",69118.05304756116,95.6736484506981,1587745
Sql2o,"1000",619154.0080212699,508.8749071496725,177528
Hibernate,"1",20631.939271582007,61.71355249540461,1337364
Hibernate,"10",43089.65598225424,92.74856440745937,1275347
Hibernate,"100",253235.7540377308,384.7360048488415,433969
Hibernate,"1000",2505942.1693247063,4345.468882713616,43892
MyBatis,"1",20608.669703664797,57.90965680747677,1338383
MyBatis,"10",53247.32835055091,98.9369690227446,1134306
MyBatis,"100",362425.5168875024,525.520204632507,303242
MyBatis,"1000",3488839.7468771795,4609.525495186793,31542
RowMapper,"1",15116.096721796195,40.38025796798727,1822919
RowMapper,"10",119259.86601275262,168.8372236009259,921222
RowMapper,"100",1156557.4085621121,1733.5773107719417,95070
RowMapper,"1000",1.1340665785897568E7,20706.85507671183,9743
