"","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: db","Param: limit","Param: nbRows","Param: useAsm"
"JacksonCsvMapper","avgt",1,100,696083.4408568256,6483.211244095632,"ns/op","","","1000",""
"OpenCsvMapper","avgt",1,100,1366823.383679588,16392.525998866193,"ns/op","","","1000",""
"ReadSfmCsvMapper","avgt",1,100,379375.5491014859,1287.1414595704834,"ns/op","","","1000",""
"UnivocityCsvMapper","avgt",1,100,5565275.567889604,24860.201707285105,"ns/op","","","1000",""
"HibernateStatefull","avgt",1,100,329266.7168537476,13289.332169011035,"ns/op","MYSQL","1","",""
"HibernateStatefull","avgt",1,100,378582.403779842,14098.65718984936,"ns/op","MYSQL","10","",""
"HibernateStatefull","avgt",1,100,910690.1383187952,16152.024942133308,"ns/op","MYSQL","100","",""
"HibernateStatefull","avgt",1,100,4663482.4939288385,15686.59019585439,"ns/op","MYSQL","1000","",""
"MyBatis","avgt",1,100,426318.63730286295,8610.820777105695,"ns/op","MYSQL","1","",""
"MyBatis","avgt",1,100,508331.319358276,13892.884074466812,"ns/op","MYSQL","10","",""
"MyBatis","avgt",1,100,969545.9827029604,22722.983834868497,"ns/op","MYSQL","100","",""
"MyBatis","avgt",1,100,5282665.94256452,67565.98999002905,"ns/op","MYSQL","1000","",""
"PureJdbc","avgt",1,100,245369.29388099757,3779.1482431824834,"ns/op","MYSQL","1","",""
"PureJdbc","avgt",1,100,277987.43840749393,5849.955605225023,"ns/op","MYSQL","10","",""
"PureJdbc","avgt",1,100,617885.7966451205,32671.586850688862,"ns/op","MYSQL","100","",""
"PureJdbc","avgt",1,100,2385715.8040169864,14299.432100920521,"ns/op","MYSQL","1000","",""
"Jooq","avgt",1,100,351842.13881359366,2102.017639228299,"ns/op","MYSQL","1","",""
"Jooq","avgt",1,100,429523.6826325795,8786.202315923785,"ns/op","MYSQL","10","",""
"Jooq","avgt",1,100,879677.5570820149,19016.36736216533,"ns/op","MYSQL","100","",""
"Jooq","avgt",1,100,3986693.2105118968,19018.493101219192,"ns/op","MYSQL","1000","",""
"JooqWithSfmMapping","avgt",1,100,346307.9038550311,1784.6319327334907,"ns/op","MYSQL","1","",""
"JooqWithSfmMapping","avgt",1,100,412994.58038541523,9072.985824635836,"ns/op","MYSQL","10","",""
"JooqWithSfmMapping","avgt",1,100,783200.0813816126,21273.899408827612,"ns/op","MYSQL","100","",""
"JooqWithSfmMapping","avgt",1,100,3365661.3223434235,20479.218572019377,"ns/op","MYSQL","1000","",""
"JdbcMapperDynamic","avgt",1,100,246937.71838084346,3717.8333576893338,"ns/op","MYSQL","1","","true"
"JdbcMapperDynamic","avgt",1,100,245671.31508962403,3487.5629738773896,"ns/op","MYSQL","1","","false"
"JdbcMapperDynamic","avgt",1,100,318185.7072561955,11221.559663246386,"ns/op","MYSQL","10","","true"
"JdbcMapperDynamic","avgt",1,100,329849.80067463,15093.461782286104,"ns/op","MYSQL","10","","false"
"JdbcMapperDynamic","avgt",1,100,632433.6269112824,35910.674000329294,"ns/op","MYSQL","100","","true"
"JdbcMapperDynamic","avgt",1,100,637138.8661226411,35362.72363317604,"ns/op","MYSQL","100","","false"
"JdbcMapperDynamic","avgt",1,100,2523887.909607415,15628.263569078486,"ns/op","MYSQL","1000","","true"
"JdbcMapperDynamic","avgt",1,100,2576248.371864445,15572.590325429177,"ns/op","MYSQL","1000","","false"
"JdbcMapperStatic","avgt",1,100,243717.72551630854,3826.602058574189,"ns/op","MYSQL","1","","true"
"JdbcMapperStatic","avgt",1,100,244699.27804894847,3977.090625461757,"ns/op","MYSQL","1","","false"
"JdbcMapperStatic","avgt",1,100,277523.0944771932,5393.432573654739,"ns/op","MYSQL","10","","true"
"JdbcMapperStatic","avgt",1,100,281181.13859091705,6811.366974397051,"ns/op","MYSQL","10","","false"
"JdbcMapperStatic","avgt",1,100,598400.948660228,33712.43918306283,"ns/op","MYSQL","100","","true"
"JdbcMapperStatic","avgt",1,100,628121.3971172128,35368.20110596202,"ns/op","MYSQL","100","","false"
"JdbcMapperStatic","avgt",1,100,2407084.9016526956,17365.420337389034,"ns/op","MYSQL","1000","","true"
"JdbcMapperStatic","avgt",1,100,2443557.8433194645,12725.987086683072,"ns/op","MYSQL","1000","","false"
"BeanPropertyRowMapper","avgt",1,100,324926.10730244574,14512.905061102763,"ns/op","MYSQL","1","",""
"BeanPropertyRowMapper","avgt",1,100,460477.81906142057,17524.101432389623,"ns/op","MYSQL","10","",""
"BeanPropertyRowMapper","avgt",1,100,1847358.11312903,41433.30471546742,"ns/op","MYSQL","100","",""
"BeanPropertyRowMapper","avgt",1,100,1.366545941970832E7,92295.93119273934,"ns/op","MYSQL","1000","",""
"Roma","avgt",1,100,252524.1069272087,3487.5327012694665,"ns/op","MYSQL","1","",""
"Roma","avgt",1,100,323356.6827438875,13979.869917028918,"ns/op","MYSQL","10","",""
"Roma","avgt",1,100,617773.8087121755,36900.01407844804,"ns/op","MYSQL","100","",""
"Roma","avgt",1,100,2482609.405166383,19066.106142127966,"ns/op","MYSQL","1000","",""
"Sql2O","avgt",1,100,260478.61173710882,3511.9123677033795,"ns/op","MYSQL","1","",""
"Sql2O","avgt",1,100,339602.8301898651,17118.165084508008,"ns/op","MYSQL","10","",""
"Sql2O","avgt",1,100,689672.8858966286,33148.347683507716,"ns/op","MYSQL","100","",""
"Sql2O","avgt",1,100,2898118.341038265,16189.474688640712,"ns/op","MYSQL","1000","",""
