Benchmark,QuerySize,Median,Error (99.9%),Samples
PureJdbcJmhBenchmarks,1,19677.80292,54.38637035,1402883
PureJdbcJmhBenchmarks,10,23811.80655,61.88614453,1157795
PureJdbcJmhBenchmarks,100,57059.25784,76.15707146,1922964
PureJdbcJmhBenchmarks,1000,388710.2479,524.7757643,282775
SfmStaticJmhBenchmarks,1,20150.08746,52.6962441,1368710
SfmStaticJmhBenchmarks,10,23697.57274,66.93189148,1165429
SfmStaticJmhBenchmarks,100,60096.44686,80.60080317,1826091
SfmStaticJmhBenchmarks,1000,421605.8036,543.8634265,260726
SfmDynamicJmhBenchmarks,1,20597.67555,55.75750077,1339971
SfmDynamicJmhBenchmarks,10,23874.90497,64.09559389,1154380
SfmDynamicJmhBenchmarks,100,60713.14833,81.50695562,1807469
SfmDynamicJmhBenchmarks,1000,415749.85,533.5359564,264404
SfmNoAsmJmhBenchmarks,1,20104.97101,53.9898859,1371782
SfmNoAsmJmhBenchmarks,10,24889.05283,64.03855033,1107135
SfmNoAsmJmhBenchmarks,100,69965.53521,93.32665663,1568172
SfmNoAsmJmhBenchmarks,1000,507805.4745,638.8163751,216507
RomaJmhBenchmarks,1,21542.82719,55.84032796,1276871
RomaJmhBenchmarks,10,26201.08401,67.04912671,1155231
RomaJmhBenchmarks,100,67766.31422,97.26960601,1619192
RomaJmhBenchmarks,1000,465223.4298,542.2647061,236307
Sql2oJmhBenchmarks,1,28419.33637,57.89366709,1738571
Sql2oJmhBenchmarks,10,35546.6962,68.54294961,1544444
Sql2oJmhBenchmarks,100,93366.77644,128.9006553,1175793
Sql2oJmhBenchmarks,1000,642621.4077,791.7202457,171065
HibernateJmhBenchmarks,1,57004.75547,83.23895542,1923220
HibernateJmhBenchmarks,10,79054.39115,115.5706934,1388124
HibernateJmhBenchmarks,100,285466.8424,418.3430759,384853
HibernateJmhBenchmarks,1000,2664850.693,4443.419735,41276
MyBatisJmhBenchmarks,1,42000.76861,78.46816252,1306338
MyBatisJmhBenchmarks,10,75495.5307,105.0821582,1453247
MyBatisJmhBenchmarks,100,379663.9069,511.5438337,289492
MyBatisJmhBenchmarks,1000,3641591.791,4917.7679,30217
BeansPropertyRowMapperJmhBenchmarks,1,37407.71598,71.0365975,1466276
BeansPropertyRowMapperJmhBenchmarks,10,141057.2285,200.5062404,778553
BeansPropertyRowMapperJmhBenchmarks,100,1218671.87,1895.383008,90235
BeansPropertyRowMapperJmhBenchmarks,1000,1.18E+07,19799.05791,9378
