,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: db,Param: limit,Param: useAsm
JacksonCsvMapper,avgt,1,100,19972.12262,67.92065643,ns/op,,1,
JacksonCsvMapper,avgt,1,100,27252.61781,110.3473268,ns/op,,10,
JacksonCsvMapper,avgt,1,100,97386.60201,360.5180474,ns/op,,100,
JacksonCsvMapper,avgt,1,100,833531.4985,5735.092158,ns/op,,1000,
OpenCsvMapper,avgt,1,100,21203.22881,95.10779386,ns/op,,1,
OpenCsvMapper,avgt,1,100,33196.16286,128.4802482,ns/op,,10,
OpenCsvMapper,avgt,1,100,152187.014,692.4582356,ns/op,,100,
OpenCsvMapper,avgt,1,100,1348454.899,4771.932028,ns/op,,1000,
ReadSfmCsvMapper,avgt,1,100,21134.15382,101.1384863,ns/op,,1,
ReadSfmCsvMapper,avgt,1,100,25295.14788,108.0196755,ns/op,,10,
ReadSfmCsvMapper,avgt,1,100,66029.65816,254.0915645,ns/op,,100,
ReadSfmCsvMapper,avgt,1,100,547569.0766,2114.073304,ns/op,,1000,
UnivocityCsvMapper,avgt,1,100,5333892.722,19795.33219,ns/op,,1,
UnivocityCsvMapper,avgt,1,100,5398188.537,26500.4417,ns/op,,10,
UnivocityCsvMapper,avgt,1,100,5492224.028,26939.55703,ns/op,,100,
UnivocityCsvMapper,avgt,1,100,6411397.53,43904.68339,ns/op,,1000,
JacksonCsvParser,avgt,1,100,19617.47366,75.15981002,ns/op,,1,
JacksonCsvParser,avgt,1,100,24818.91928,109.4499718,ns/op,,10,
JacksonCsvParser,avgt,1,100,76091.79785,71.92574926,ns/op,,100,
JacksonCsvParser,avgt,1,100,609871.2577,1559.639958,ns/op,,1000,
OpenCsvParser,avgt,1,100,21081.64281,81.66868227,ns/op,,1,
OpenCsvParser,avgt,1,100,28698.62033,71.59576391,ns/op,,10,
OpenCsvParser,avgt,1,100,105820.0167,103.9986803,ns/op,,100,
OpenCsvParser,avgt,1,100,922870.2931,8658.291407,ns/op,,1000,
ReadSfmCsvParser,avgt,1,100,20614.28378,56.97697468,ns/op,,1,
ReadSfmCsvParser,avgt,1,100,24150.91208,100.8363589,ns/op,,10,
ReadSfmCsvParser,avgt,1,100,60806.27269,614.6743925,ns/op,,100,
ReadSfmCsvParser,avgt,1,100,428892.1514,1478.917096,ns/op,,1000,
ReadSfmCsvParserCC,avgt,1,100,20584.61806,93.89166799,ns/op,,1,
ReadSfmCsvParserCC,avgt,1,100,23730.37047,82.38506149,ns/op,,10,
ReadSfmCsvParserCC,avgt,1,100,52360.85336,63.5717153,ns/op,,100,
ReadSfmCsvParserCC,avgt,1,100,366639.3811,4427.763688,ns/op,,1000,
HibernateStatefull,avgt,1,100,19145.09344,126.7584248,ns/op,HSQLDB,1,
HibernateStatefull,avgt,1,100,41438.27113,338.0798161,ns/op,HSQLDB,10,
HibernateStatefull,avgt,1,100,253079.2882,1523.15735,ns/op,HSQLDB,100,
HibernateStatefull,avgt,1,100,2529606.265,13484.72935,ns/op,HSQLDB,1000,
MyBatis,avgt,1,100,19646.33238,245.968897,ns/op,HSQLDB,1,
MyBatis,avgt,1,100,53041.10236,638.4085798,ns/op,HSQLDB,10,
MyBatis,avgt,1,100,357459.335,3088.156891,ns/op,HSQLDB,100,
MyBatis,avgt,1,100,3584767.099,42618.24875,ns/op,HSQLDB,1000,
PureJdbc,avgt,1,100,1932.901731,19.3999281,ns/op,HSQLDB,1,
PureJdbc,avgt,1,100,4986.562395,21.64441232,ns/op,HSQLDB,10,
PureJdbc,avgt,1,100,35174.75925,49.96337849,ns/op,HSQLDB,100,
PureJdbc,avgt,1,100,338329.4202,853.2252199,ns/op,HSQLDB,1000,
Jooq.testFetchRecord,avgt,1,100,29230.54907,182.0029172,ns/op,HSQLDB,1,
Jooq.testFetchRecord,avgt,1,100,45241.89084,533.1933654,ns/op,HSQLDB,10,
Jooq.testFetchRecord,avgt,1,100,174774.5338,1053.358978,ns/op,HSQLDB,100,
Jooq.testFetchRecord,avgt,1,100,1547739.976,22619.88161,ns/op,HSQLDB,1000,
Jooq.testSqlSmfMapper,avgt,1,100,32453.57574,134.7251246,ns/op,HSQLDB,1,
Jooq.testSqlSmfMapper,avgt,1,100,43294.91291,181.9329348,ns/op,HSQLDB,10,
Jooq.testSqlSmfMapper,avgt,1,100,141045.8817,1273.51301,ns/op,HSQLDB,100,
