"Benchmark","QuerySize","Median","Error (99.9%)","Samples"
PureJdbc,"1",68.41548403341491,2.4416800158517336,1930156
PureJdbc,"10",176.1307771344596,3.7914622712480344,1639935
PureJdbc,"100",1170.1093785013718,12.297070596535674,1521725
PureJdbc,"1000",11037.243419571292,39.1448908987715,1247981
JdbcMapperStatic,"1",95.25338706259727,0.1646674533361901,1368590
JdbcMapperStatic,"10",367.132975433924,6.965386651174083,1434295
JdbcMapperStatic,"100",2807.3433820103846,19.654314653540887,1242817
JdbcMapperStatic,"1000",32469.653588589157,56.82001283053735,1691584
JdbcMapperDynamic,"1",138.5374825829909,3.348526492978613,1187058
JdbcMapperDynamic,"10",397.077212162889,8.841849817534994,1288411
JdbcMapperDynamic,"100",2851.0081412655804,19.962237664993395,1224134
JdbcMapperDynamic,"1000",35962.291371475716,60.977203986904755,1527260
JdbcMapperDynamicNoAsm,"1",240.84098922922598,4.394841385056035,1184316
JdbcMapperDynamicNoAsm,"10",1264.7186862708847,8.462914117095046,1411737
JdbcMapperDynamicNoAsm,"100",12122.310564747042,44.11088239004299,1138191
JdbcMapperDynamicNoAsm,"1000",132872.51512077148,165.3166264831148,826975
Roma,"1",77.2668612133996,3.7515878618005636,1342608
Roma,"10",316.07779637501534,9.190347280539763,1557579
Roma,"100",2620.0719487216957,19.649083869822487,1327501
Roma,"1000",25582.004747852905,68.35091068826706,1074591
Sql2o,"1",3212.18339747234,22.354022718199083,1097616
Sql2o,"10",5899.777750397045,29.144177090666584,1176821
Sql2o,"100",36244.378651925654,65.80092545514339,1515228
Sql2o,"1000",306096.89188978396,390.0254440405811,359004
Hibernate,"1",20335.72698310861,60.24122505725877,1359154
Hibernate,"10",38971.98136452109,81.85618110724411,1409784
Hibernate,"100",209047.35534982476,297.0218795452173,525606
Hibernate,"1000",2035416.6787789084,3467.251939967289,54050
MyBatis,"1",12524.176749944647,47.35859004842907,1106535
MyBatis,"10",43194.412598692325,84.41348346446024,1273402
MyBatis,"100",338654.12283258815,307.7421961987977,324523
MyBatis,"1000",3354175.077101308,4953.479608457698,32801
RowMapper,"1",11289.597828040107,41.9212807198374,1224332
RowMapper,"10",111627.80622487205,137.6510974833883,984213
RowMapper,"100",1091992.1418059403,1466.3289794357902,100701
RowMapper,"1000",1.108783871255142E7,17309.94836966974,9967
