"","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: db","Param: limit","Param: useAsm"
"HibernateStatefull","avgt",1,100.000000,362391.368116,9920.577888,"ns/op",MYSQL,1,
"HibernateStatefull","avgt",1,100.000000,432959.134844,13218.017854,"ns/op",MYSQL,10,
"HibernateStatefull","avgt",1,100.000000,850432.603268,18302.459942,"ns/op",MYSQL,100,
"HibernateStatefull","avgt",1,100.000000,4796142.983389,25860.590053,"ns/op",MYSQL,1000,
"MyBatis","avgt",1,100.000000,411210.780094,9615.818192,"ns/op",MYSQL,1,
"MyBatis","avgt",1,100.000000,501710.638989,15746.118191,"ns/op",MYSQL,10,
"MyBatis","avgt",1,100.000000,940236.024302,20446.373174,"ns/op",MYSQL,100,
"MyBatis","avgt",1,100.000000,5185033.378426,54733.934994,"ns/op",MYSQL,1000,
"PureJdbc","avgt",1,100.000000,240872.222699,5203.591399,"ns/op",MYSQL,1,
"PureJdbc","avgt",1,100.000000,276380.662482,6196.426880,"ns/op",MYSQL,10,
"PureJdbc","avgt",1,100.000000,626508.577542,42766.062590,"ns/op",MYSQL,100,
"PureJdbc","avgt",1,100.000000,2378323.520711,15396.457823,"ns/op",MYSQL,1000,
"Jooq.testFetchRecord","avgt",1,100.000000,336500.899310,2010.205689,"ns/op",MYSQL,1,
"Jooq.testFetchRecord","avgt",1,100.000000,387021.201839,5977.391529,"ns/op",MYSQL,10,
"Jooq.testFetchRecord","avgt",1,100.000000,825309.420847,33994.552443,"ns/op",MYSQL,100,
"Jooq.testFetchRecord","avgt",1,100.000000,3273924.326607,26097.642471,"ns/op",MYSQL,1000,
"Jooq.testSqlSfmAsProviderMapper","avgt",1,100.000000,337524.746200,2079.547200,"ns/op",MYSQL,1,
"Jooq.testSqlSfmAsProviderMapper","avgt",1,100.000000,391384.504021,5955.763365,"ns/op",MYSQL,10,
"Jooq.testSqlSfmAsProviderMapper","avgt",1,100.000000,830403.421392,31095.905522,"ns/op",MYSQL,100,
"Jooq.testSqlSfmAsProviderMapper","avgt",1,100.000000,3385902.414809,21008.188645,"ns/op",MYSQL,1000,
"Jooq.testSqlSfmMapperOnResultSet","avgt",1,100.000000,332865.400061,2408.623655,"ns/op",MYSQL,1,
"Jooq.testSqlSfmMapperOnResultSet","avgt",1,100.000000,360690.286532,3946.457032,"ns/op",MYSQL,10,
"Jooq.testSqlSfmMapperOnResultSet","avgt",1,100.000000,729336.114020,28371.320100,"ns/op",MYSQL,100,
"Jooq.testSqlSfmMapperOnResultSet","avgt",1,100.000000,2648870.383183,25742.089366,"ns/op",MYSQL,1000,
"Jooq.testSqlWithJooqMapper","avgt",1,100.000000,343846.634466,2282.512214,"ns/op",MYSQL,1,
"Jooq.testSqlWithJooqMapper","avgt",1,100.000000,397679.133991,6681.365083,"ns/op",MYSQL,10,
"Jooq.testSqlWithJooqMapper","avgt",1,100.000000,902016.765807,27111.015272,"ns/op",MYSQL,100,
"Jooq.testSqlWithJooqMapper","avgt",1,100.000000,3916792.054549,23359.956362,"ns/op",MYSQL,1000,
"JdbcMapperDynamic","avgt",1,100.000000,242582.285006,4222.099606,"ns/op",MYSQL,1,true
"JdbcMapperDynamic","avgt",1,100.000000,241715.579069,3504.296528,"ns/op",MYSQL,1,false
"JdbcMapperDynamic","avgt",1,100.000000,310982.214557,13581.459675,"ns/op",MYSQL,10,true
