"","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: db","Param: limit","Param: useAsm"
"JacksonCsvMapper","avgt",1,100.000000,20220.287357,75.895913,"ns/op",,1,
"JacksonCsvMapper","avgt",1,100.000000,27608.219031,66.994956,"ns/op",,10,
"JacksonCsvMapper","avgt",1,100.000000,97520.548520,324.016837,"ns/op",,100,
"JacksonCsvMapper","avgt",1,100.000000,825312.723970,1546.151805,"ns/op",,1000,
"OpenCsvMapper","avgt",1,100.000000,21017.702137,72.743583,"ns/op",,1,
"OpenCsvMapper","avgt",1,100.000000,33165.516486,100.268675,"ns/op",,10,
"OpenCsvMapper","avgt",1,100.000000,155878.372160,482.639110,"ns/op",,100,
"OpenCsvMapper","avgt",1,100.000000,1349167.555640,5768.664179,"ns/op",,1000,
"ReadSfmCsvMapper","avgt",1,100.000000,20750.692764,93.479743,"ns/op",,1,
"ReadSfmCsvMapper","avgt",1,100.000000,25238.312878,75.195551,"ns/op",,10,
"ReadSfmCsvMapper","avgt",1,100.000000,65266.876252,805.903136,"ns/op",,100,
"ReadSfmCsvMapper","avgt",1,100.000000,440217.721275,4320.291696,"ns/op",,1000,
"UnivocityCsvMapper","avgt",1,100.000000,4792485.144496,15483.927590,"ns/op",,1,
"UnivocityCsvMapper","avgt",1,100.000000,4822547.921387,12628.704700,"ns/op",,10,
"UnivocityCsvMapper","avgt",1,100.000000,4920547.455642,15714.302485,"ns/op",,100,
"UnivocityCsvMapper","avgt",1,100.000000,5802306.269309,20719.495188,"ns/op",,1000,
"JacksonCsvParser","avgt",1,100.000000,19591.916225,48.095142,"ns/op",,1,
"JacksonCsvParser","avgt",1,100.000000,25077.959311,89.074025,"ns/op",,10,
"JacksonCsvParser","avgt",1,100.000000,76378.769633,124.093497,"ns/op",,100,
"JacksonCsvParser","avgt",1,100.000000,610104.066292,804.787924,"ns/op",,1000,
"OpenCsvParser","avgt",1,100.000000,20777.558548,95.039404,"ns/op",,1,
"OpenCsvParser","avgt",1,100.000000,28479.876472,64.171826,"ns/op",,10,
"OpenCsvParser","avgt",1,100.000000,105826.311669,188.553237,"ns/op",,100,
"OpenCsvParser","avgt",1,100.000000,927299.471446,8038.997506,"ns/op",,1000,
"ReadSfmCsvParser","avgt",1,100.000000,20375.474277,77.713586,"ns/op",,1,
"ReadSfmCsvParser","avgt",1,100.000000,23862.074678,76.054284,"ns/op",,10,
"ReadSfmCsvParser","avgt",1,100.000000,59277.634292,176.088230,"ns/op",,100,
"ReadSfmCsvParser","avgt",1,100.000000,426530.059123,1104.040744,"ns/op",,1000,
"ReadSfmCsvParserCC","avgt",1,100.000000,20076.724977,88.315836,"ns/op",,1,
"ReadSfmCsvParserCC","avgt",1,100.000000,23310.764025,90.832047,"ns/op",,10,
"ReadSfmCsvParserCC","avgt",1,100.000000,52432.361623,116.415953,"ns/op",,100,
"ReadSfmCsvParserCC","avgt",1,100.000000,364997.941547,2707.912427,"ns/op",,1000,
"UnivocityParser","avgt",1,100.000000,4364161.632468,15800.215743,"ns/op",,1,
"UnivocityParser","avgt",1,100.000000,4239436.144371,8571.753781,"ns/op",,10,
"UnivocityParser","avgt",1,100.000000,4311323.640570,10314.604639,"ns/op",,100,
"UnivocityParser","avgt",1,100.000000,5116607.248121,13251.114850,"ns/op",,1000,
"HibernateStatefull","avgt",1,100.000000,361046.164084,7897.008604,"ns/op",MYSQL,1,
"HibernateStatefull","avgt",1,100.000000,433956.650980,10198.272221,"ns/op",MYSQL,10,
"HibernateStatefull","avgt",1,100.000000,1135983.310431,45615.717190,"ns/op",MYSQL,100,
"HibernateStatefull","avgt",1,100.000000,5694378.788653,25902.486279,"ns/op",MYSQL,1000,
"MyBatis","avgt",1,100.000000,400722.113003,3895.106170,"ns/op",MYSQL,1,
"MyBatis","avgt",1,100.000000,490464.708626,8266.823481,"ns/op",MYSQL,10,
"MyBatis","avgt",1,100.000000,1234900.637050,36123.613779,"ns/op",MYSQL,100,
"MyBatis","avgt",1,100.000000,7453404.782058,64362.187645,"ns/op",MYSQL,1000,
