"Benchmark","QuerySize","Median","Error (99.9%)","Samples"
"MyBatisJmhBenchmarks",0001,41846.96558771243,82.85118369700257,1312351
"MyBatisJmhBenchmarks",0010,76256.0637399694,106.20883239761865,1438846
"MyBatisJmhBenchmarks",0100,383874.227731383,542.3096611825052,286311
"MyBatisJmhBenchmarks",1000,3592140.1248204727,4639.899921561096,30636
"MyBatisJmhBenchmarks",0001,41846.96558771243,82.85118369700257,1312351
"MyBatisJmhBenchmarks",0010,76256.0637399694,106.20883239761865,1438846
"MyBatisJmhBenchmarks",0100,383874.227731383,542.3096611825052,286311
"MyBatisJmhBenchmarks",1000,3592140.1248204727,4639.899921561096,30636
"MyBatisJmhBenchmarks",0001,41846.96558771243,82.85118369700257,1312351
"MyBatisJmhBenchmarks",0010,76256.0637399694,106.20883239761865,1438846
"MyBatisJmhBenchmarks",0100,383874.227731383,542.3096611825052,286311
"MyBatisJmhBenchmarks",1000,3592140.1248204727,4639.899921561096,30636
"MyBatisJmhBenchmarks",0001,41846.96558771243,82.85118369700257,1312351
"MyBatisJmhBenchmarks",0010,76256.0637399694,106.20883239761865,1438846
"MyBatisJmhBenchmarks",0100,383874.227731383,542.3096611825052,286311
"MyBatisJmhBenchmarks",1000,3592140.1248204727,4639.899921561096,30636
"MyBatisJmhBenchmarks",0001,41846.96558771243,82.85118369700257,1312351
"MyBatisJmhBenchmarks",0010,76256.0637399694,106.20883239761865,1438846
"MyBatisJmhBenchmarks",0100,383874.227731383,542.3096611825052,286311
"MyBatisJmhBenchmarks",1000,3592140.1248204727,4639.899921561096,30636
"MyBatisJmhBenchmarks",0001,41846.96558771243,82.85118369700257,1312351
"MyBatisJmhBenchmarks",0010,76256.0637399694,106.20883239761865,1438846
"MyBatisJmhBenchmarks",0100,383874.227731383,542.3096611825052,286311
"MyBatisJmhBenchmarks",1000,3592140.1248204727,4639.899921561096,30636
"MyBatisJmhBenchmarks",0001,41846.96558771243,82.85118369700257,1312351
"MyBatisJmhBenchmarks",0010,76256.0637399694,106.20883239761865,1438846
"MyBatisJmhBenchmarks",0100,383874.227731383,542.3096611825052,286311
"MyBatisJmhBenchmarks",1000,3592140.1248204727,4639.899921561096,30636
"MyBatisJmhBenchmarks",0001,41846.96558771243,82.85118369700257,1312351
"MyBatisJmhBenchmarks",0010,76256.0637399694,106.20883239761865,1438846
"MyBatisJmhBenchmarks",0100,383874.227731383,542.3096611825052,286311
"MyBatisJmhBenchmarks",1000,3592140.1248204727,4639.899921561096,30636
