,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: db,Param: limit,Param: useAsm
JdbcMapperStatic,avgt,1,100,560551.5402,1707.33922,ns/op,HSQLDB,1000,FALSE
BeanPropertyRowMapper,avgt,1,100,15550.09626,114.0628918,ns/op,HSQLDB,1,
BeanPropertyRowMapper,avgt,1,100,122372.1625,780.0050204,ns/op,HSQLDB,10,
BeanPropertyRowMapper,avgt,1,100,1232496.147,12009.02926,ns/op,HSQLDB,100,
BeanPropertyRowMapper,avgt,1,100,1.23E+07,86407.36348,ns/op,HSQLDB,1000,
Roma,avgt,1,100,2625.203628,10.76049367,ns/op,HSQLDB,1,
Roma,avgt,1,100,6427.907511,20.89876386,ns/op,HSQLDB,10,
Roma,avgt,1,100,43528.87741,85.80860756,ns/op,HSQLDB,100,
Roma,avgt,1,100,409578.617,1486.452304,ns/op,HSQLDB,1000,
Sql2O.sfm,avgt,1,100,5343.651609,44.77040719,ns/op,HSQLDB,1,
Sql2O.sfm,avgt,1,100,8678.981738,48.6756906,ns/op,HSQLDB,10,
Sql2O.sfm,avgt,1,100,43564.08501,144.7386621,ns/op,HSQLDB,100,
Sql2O.sfm,avgt,1,100,388241.9161,572.7002914,ns/op,HSQLDB,1000,
Sql2O,avgt,1,100,6664.662237,40.17581253,ns/op,HSQLDB,1,
Sql2O,avgt,1,100,12172.79342,64.89488205,ns/op,HSQLDB,10,
Sql2O,avgt,1,100,66677.51502,445.1820208,ns/op,HSQLDB,100,
Sql2O,avgt,1,100,608269.4988,4108.250037,ns/op,HSQLDB,1000,
