"Benchmark","QuerySize","Median","Error (99.9%)","Samples"
PureJdbc,"1",238349.4270355635,351.0573253048289,460978
PureJdbc,"10",304783.2478670409,656.8085922319925,360532
PureJdbc,"100",677262.1692993913,1858.5404301220285,162316
PureJdbc,"1000",2872968.1971102343,2927.1962224715276,38273
JdbcMapperStatic,"1",236258.14541630918,329.348770518869,465051
JdbcMapperStatic,"10",314817.55510796973,970.4469867981147,349033
JdbcMapperStatic,"100",670676.246284501,1838.478343432071,163908
JdbcMapperStatic,"1000",2893315.353800016,2805.281347198002,38013
JdbcMapperDynamic,"1",239350.15942281552,453.72026798898247,459056
JdbcMapperDynamic,"10",322747.3524131773,761.7024622880932,340464
JdbcMapperDynamic,"100",670218.6190002987,1835.9384392639258,164029
JdbcMapperDynamic,"1000",2886529.424910733,2490.2650979995174,38088
JdbcMapperDynamicNoAsm,"1",240560.92340567143,315.41758936440834,456744
JdbcMapperDynamicNoAsm,"10",314118.8538106645,702.1044129201406,349834
JdbcMapperDynamicNoAsm,"100",709628.952735066,1923.5934603741994,154914
JdbcMapperDynamicNoAsm,"1000",2972073.8754966888,3059.2325265786308,36995
Roma,"1",251373.05013944785,343.819266165734,437081
Roma,"10",339156.3237277517,926.2070195966713,324013
Roma,"100",749467.4088739807,1999.5938405813213,146676
Roma,"1000",3214860.6776390797,2528.727318099037,34207
Sql2o,"1",258627.42053043266,376.3295651330487,424823
Sql2o,"10",359306.11705999495,1067.416167314506,305809
Sql2o,"100",803333.5112501187,2043.9178618533372,136843
Sql2o,"1000",3670375.377386197,4146.368418462971,29964
Hibernate,"1",329686.3932395448,671.7727865053043,333232
Hibernate,"10",399613.3458913201,901.3605077909817,274991
Hibernate,"100",1135589.1522083406,2609.403775776821,96611
Hibernate,"1000",5669288.988986104,9831.72961656841,19430
MyBatis,"1",420196.04079026356,988.235909877318,261533
MyBatis,"10",525077.6443790487,1326.5654853325652,209324
MyBatis,"100",1235183.9317068788,3163.3157603944805,89028
MyBatis,"1000",7709263.157541431,14557.437725345046,14301
RowMapper,"1",304575.7355130007,659.912757096395,360789
RowMapper,"10",483721.12668221624,1248.0152626379363,227230
RowMapper,"100",2035390.4411046123,3971.093504850393,54028
RowMapper,"1000",1.4239662755280783E7,27473.42439569168,7764
