"Benchmark","QuerySize","Median","Error (99.9%)","Samples"
"PureJdbcJmhBenchmarks",0001,65754.54941356469,311.4747982167042,1668641
"PureJdbcJmhBenchmarks",0010,68814.33175536219,311.7234675245313,1594030
"PureJdbcJmhBenchmarks",0100,102615.98755664568,234.75878145718218,1069808
"PureJdbcJmhBenchmarks",1000,432568.4402468203,622.2424194269689,254112
"SfmStaticJmhBenchmarks",0001,66967.53019724785,320.2175439072043,1639156
"SfmStaticJmhBenchmarks",0010,69854.51805388673,316.34961338976234,1571296
"SfmStaticJmhBenchmarks",0100,106687.03093526787,258.48954767285437,1029149
"SfmStaticJmhBenchmarks",1000,471122.5141828623,674.0800203970603,233345
"SfmDynamicJmhBenchmarks",0001,67026.3225669335,313.5810071504411,1637409
"SfmDynamicJmhBenchmarks",0010,69894.98540387374,319.9746668457959,1569389
"SfmDynamicJmhBenchmarks",0100,107753.05973079878,267.62404767223745,1019089
"SfmDynamicJmhBenchmarks",1000,467633.2952737482,680.5107644510451,235070
"SfmNoAsmJmhBenchmarks",0001,66747.51290564421,320.72145113342657,1643312
"SfmNoAsmJmhBenchmarks",0010,72850.03974187242,311.88285152982644,1505767
"SfmNoAsmJmhBenchmarks",0100,117430.53913757578,260.6952426955111,935201
"SfmNoAsmJmhBenchmarks",1000,556104.0839582637,794.5828879764707,197622
"RomaJmhBenchmarks",0001,68246.29396446641,323.143403951485,1607099
"RomaJmhBenchmarks",0010,74173.17582805316,306.0045654007177,1479434
"RomaJmhBenchmarks",0100,114720.65704560983,270.8276998582961,957206
"RomaJmhBenchmarks",1000,505270.06980741833,779.8359306727028,217570
"Sql2oJmhBenchmarks",0001,28263.88422858284,60.94475321067458,1652705
"Sql2oJmhBenchmarks",0010,35008.81275927323,67.08965294366124,1567362
"Sql2oJmhBenchmarks",0100,92543.1356090225,127.31895186707276,1186278
"Sql2oJmhBenchmarks",1000,646464.0203253467,711.3211479295155,170034
"HibernateJmhBenchmarks",0001,56516.234704515715,82.81574366166214,1939494
"HibernateJmhBenchmarks",0010,78684.05827145975,115.51958675787294,1394645
"HibernateJmhBenchmarks",0100,286169.23101447994,422.21458317908684,383911
"HibernateJmhBenchmarks",1000,2615606.8284423305,4272.511411617991,42050
"MyBatisJmhBenchmarks",0001,41846.96558771243,82.85118369700257,1312351
"MyBatisJmhBenchmarks",0010,76256.0637399694,106.20883239761865,1438846
"MyBatisJmhBenchmarks",0100,383874.227731383,542.3096611825052,286311
"MyBatisJmhBenchmarks",1000,3592140.1248204727,4639.899921561096,30636
