"Benchmark","QuerySize","Median","Error (99.9%)","Samples"
PureJdbc,"1",67.35474377610235,0.1251440955318159,1930382
PureJdbc,"10",177.87037513294192,4.370935055717654,1636993
PureJdbc,"100",1176.497397763654,13.051765689604352,1521768
PureJdbc,"1000",11052.631514813354,40.707243063758696,1247388
JdbcMapperStatic,"1",96.52228843077891,2.7622642402308433,1277277
JdbcMapperStatic,"10",357.937832713128,4.278272549647749,1435546
JdbcMapperStatic,"100",2821.0116791513137,18.460507063722968,1234850
JdbcMapperStatic,"1000",32322.195440950498,56.610226458851876,1699828
JdbcMapperDynamic,"1",137.46423132508966,3.4250546226995895,1184584
JdbcMapperDynamic,"10",396.8940485752979,8.785650576621833,1288515
JdbcMapperDynamic,"100",2841.7796181319536,16.975745721000454,1224402
JdbcMapperDynamic,"1000",35632.96506091688,62.08162493773732,1541855
JdbcMapperDynamicNoAsm,"1",244.1474382999654,7.750011614584138,1187317
JdbcMapperDynamicNoAsm,"10",1275.7668870426626,11.070769493946838,1400334
JdbcMapperDynamicNoAsm,"100",12224.96700525419,41.93030923633342,1126149
JdbcMapperDynamicNoAsm,"1000",134329.90269958065,166.10904815800941,817201
Roma,"1",76.55439879968345,0.15416822677463646,1348311
Roma,"10",314.77787277701776,6.355101010646926,1561416
Roma,"100",2624.460704202523,20.852356105576078,1326465
Roma,"1000",25600.558967952697,71.25924665692916,1075067
Sql2o,"1",3232.34816494936,22.640997812797327,1091632
Sql2o,"10",5897.248555816166,29.157694752509975,1178001
Sql2o,"100",36356.95378775244,67.53485371973441,1511028
Sql2o,"1000",306245.6092725383,401.42492930373743,358823
Hibernate,"1",19999.432969621714,57.10593087489486,1378748
Hibernate,"10",38924.00523554644,78.47347321852429,1411123
Hibernate,"100",209684.952364959,296.0946127302333,524026
Hibernate,"1000",2025677.7616794035,3435.423146104883,54305
MyBatis,"1",12472.196647755463,46.895029117323595,1112568
MyBatis,"10",43530.27764401549,81.11612964001033,1261774
MyBatis,"100",338923.458295942,337.489299674621,324273
MyBatis,"1000",3307914.352997775,4393.452228675931,33258
RowMapper,"1",10938.543111513934,37.0327509995012,1264407
RowMapper,"10",108613.79861291678,134.20076900420122,1011475
RowMapper,"100",1107814.5526941523,1422.1186797691003,99252
RowMapper,"1000",1.0965459765640516E7,15740.915968458983,10070
