"","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: db","Param: limit","Param: useAsm"
"JacksonCsvMapper","avgt",1,100,17225.6141174159,107.7697446283369,"ns/op","","1",""
"JacksonCsvMapper","avgt",1,100,23647.10963899577,154.64761640738294,"ns/op","","10",""
"JacksonCsvMapper","avgt",1,100,87547.745398017,941.3646321191042,"ns/op","","100",""
"JacksonCsvMapper","avgt",1,100,742697.713496042,6299.28364680537,"ns/op","","1000",""
"OpenCsvMapper","avgt",1,100,18186.087880304105,33.04277661521114,"ns/op","","1",""
"OpenCsvMapper","avgt",1,100,30571.124627884707,102.36027445494246,"ns/op","","10",""
"OpenCsvMapper","avgt",1,100,154478.5902749935,978.378522263179,"ns/op","","100",""
"OpenCsvMapper","avgt",1,100,1439034.1038163195,12301.719736319053,"ns/op","","1000",""
"ReadSfmCsvMapper","avgt",1,100,18061.8369970673,58.749088971309654,"ns/op","","1",""
"ReadSfmCsvMapper","avgt",1,100,22854.089957566848,159.86549104240254,"ns/op","","10",""
"ReadSfmCsvMapper","avgt",1,100,63547.400207290935,760.1861358253599,"ns/op","","100",""
"ReadSfmCsvMapper","avgt",1,100,475718.65670131176,1178.0390154471434,"ns/op","","1000",""
"UnivocityCsvMapper","avgt",1,100,5075342.149463624,20112.491609950135,"ns/op","","1",""
"UnivocityCsvMapper","avgt",1,100,5072802.401588836,21372.269443588106,"ns/op","","10",""
"UnivocityCsvMapper","avgt",1,100,5205802.302401869,15061.455848647112,"ns/op","","100",""
"UnivocityCsvMapper","avgt",1,100,6068862.650451775,22900.54242218534,"ns/op","","1000",""
"JacksonCsvMapper","avgt",1,100,16503.74732492475,112.34838626422231,"ns/op","","1",""
"JacksonCsvMapper","avgt",1,100,21176.566186419328,103.55847222922462,"ns/op","","10",""
"JacksonCsvMapper","avgt",1,100,67221.16259054634,433.9721134285934,"ns/op","","100",""
"JacksonCsvMapper","avgt",1,100,544274.2480683875,1907.3230340617993,"ns/op","","1000",""
