"Benchmark","QuerySize","Median","Error (99.9%)","Samples"
PureJdbc,"1",2652.70110921072,12.53951480406887,2680735
PureJdbc,"10",6577.262113493997,22.814046629956007,2119372
PureJdbc,"100",47075.0978248856,63.81271495826736,2334314
PureJdbc,"1000",432118.8077838025,307.9567778684706,508646
JdbcMapperStatic,"1",2676.5555617260375,16.495075649490477,2647011
JdbcMapperStatic,"10",6885.164213141054,23.701056220683235,2318840
JdbcMapperStatic,"100",49412.43645865836,66.5243745021718,2224174
JdbcMapperStatic,"1000",470261.07963946695,346.07716203010517,467419
JdbcMapperDynamic,"1",3002.240207029075,17.96410737160908,2356384
JdbcMapperDynamic,"10",8153.123588337831,23.110490033053903,3398476
JdbcMapperDynamic,"100",55966.33737784936,65.1425458857166,2744869
JdbcMapperDynamic,"1000",535600.2747420394,492.83441734777546,410334
JdbcMapperDynamicNoAsm,"1",3148.106984791127,19.29130107822081,2270977
JdbcMapperDynamicNoAsm,"10",8950.767154091158,24.984369686089735,3086290
JdbcMapperDynamicNoAsm,"100",66047.60240171506,63.092972526696535,3323958
JdbcMapperDynamicNoAsm,"1000",625706.2376093294,500.19784955331744,351232
Roma,"1",3509.1989492236107,18.287177485285138,2424493
Roma,"10",7938.047457778825,22.652515229992538,3485751
Roma,"100",55338.85317656044,80.73229266697004,1984867
Roma,"1000",509490.3577760469,219.5465747438119,431376
Sql2o,"1",7446.268395716882,22.25839173607449,3732608
Sql2o,"10",13803.16639794273,37.47867884940339,2204865
Sql2o,"100",76009.19526779666,76.27411817764013,2887788
Sql2o,"1000",685896.0756530695,504.78723877741083,320410
Hibernate,"1",22370.40172411975,49.95012563915992,2465722
Hibernate,"10",45319.45128611266,69.59595069263075,2423077
Hibernate,"100",263428.95304054214,290.9188419761336,833996
Hibernate,"1000",2523084.9345991802,3501.234654536956,87109
MyBatis,"1",20995.0576236482,43.12333105087619,2627515
MyBatis,"10",53964.14997006201,71.0128068499171,2441714
MyBatis,"100",366489.6486700132,375.1018343907179,599630
MyBatis,"1000",3597952.0377123775,4014.9783675616527,61094
RowMapper,"1",15931.236212437787,31.749483792009237,3457464
RowMapper,"10",119527.07157628657,121.28816430413133,1837997
RowMapper,"100",1150876.870532418,1190.67233107985,190959
RowMapper,"1000",1.1957462304826234E7,16358.11992079707,18358
