"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: db","Param: limit","Param: useAsm"
"org.sfm.benchmark.db.hibernate.HibernateStatefullBenchmark.testQuery","avgt",1,100.000000,17498.259064,197.432953,"ns/op",HSQLDB,1,
"org.sfm.benchmark.db.hibernate.HibernateStatefullBenchmark.testQuery","avgt",1,100.000000,36173.209005,284.375522,"ns/op",HSQLDB,10,
"org.sfm.benchmark.db.hibernate.HibernateStatefullBenchmark.testQuery","avgt",1,100.000000,233042.287074,1314.326683,"ns/op",HSQLDB,100,
"org.sfm.benchmark.db.hibernate.HibernateStatefullBenchmark.testQuery","avgt",1,100.000000,2130081.802895,10182.864293,"ns/op",HSQLDB,1000,
"org.sfm.benchmark.db.ibatis.MyBatisBenchmark.testQuery","avgt",1,100.000000,21477.516708,250.796027,"ns/op",HSQLDB,1,
"org.sfm.benchmark.db.ibatis.MyBatisBenchmark.testQuery","avgt",1,100.000000,45132.161725,559.800713,"ns/op",HSQLDB,10,
"org.sfm.benchmark.db.ibatis.MyBatisBenchmark.testQuery","avgt",1,100.000000,261370.756475,2754.118246,"ns/op",HSQLDB,100,
"org.sfm.benchmark.db.ibatis.MyBatisBenchmark.testQuery","avgt",1,100.000000,2477098.007170,31807.205955,"ns/op",HSQLDB,1000,
"org.sfm.benchmark.db.jdbc.PureJdbcBenchmark.testQuery","avgt",1,100.000000,1697.590159,14.650741,"ns/op",HSQLDB,1,
"org.sfm.benchmark.db.jdbc.PureJdbcBenchmark.testQuery","avgt",1,100.000000,4639.876287,24.777097,"ns/op",HSQLDB,10,
"org.sfm.benchmark.db.jdbc.PureJdbcBenchmark.testQuery","avgt",1,100.000000,33197.335809,75.715313,"ns/op",HSQLDB,100,
"org.sfm.benchmark.db.jdbc.PureJdbcBenchmark.testQuery","avgt",1,100.000000,320300.854149,1011.325860,"ns/op",HSQLDB,1000,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testFetchRecord","avgt",1,100.000000,25000.819757,125.505779,"ns/op",HSQLDB,1,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testFetchRecord","avgt",1,100.000000,33770.399721,145.265459,"ns/op",HSQLDB,10,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testFetchRecord","avgt",1,100.000000,117524.469086,576.822001,"ns/op",HSQLDB,100,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testFetchRecord","avgt",1,100.000000,922555.965921,5399.639961,"ns/op",HSQLDB,1000,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmAsProviderMapper","avgt",1,100.000000,25956.753815,156.169074,"ns/op",HSQLDB,1,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmAsProviderMapper","avgt",1,100.000000,36027.509473,194.927049,"ns/op",HSQLDB,10,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmAsProviderMapper","avgt",1,100.000000,129746.149503,712.096134,"ns/op",HSQLDB,100,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmAsProviderMapper","avgt",1,100.000000,1050389.905374,7257.226737,"ns/op",HSQLDB,1000,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmMapperOnResultSet","avgt",1,100.000000,22868.794257,188.370061,"ns/op",HSQLDB,1,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmMapperOnResultSet","avgt",1,100.000000,26680.901793,186.594709,"ns/op",HSQLDB,10,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmMapperOnResultSet","avgt",1,100.000000,63205.365624,256.511050,"ns/op",HSQLDB,100,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmMapperOnResultSet","avgt",1,100.000000,418041.460954,2099.514975,"ns/op",HSQLDB,1000,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlWithJooqMapper","avgt",1,100.000000,29052.905808,271.002258,"ns/op",HSQLDB,1,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlWithJooqMapper","avgt",1,100.000000,43890.440319,190.870659,"ns/op",HSQLDB,10,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlWithJooqMapper","avgt",1,100.000000,187198.829845,565.337021,"ns/op",HSQLDB,100,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlWithJooqMapper","avgt",1,100.000000,1576855.958451,6792.176368,"ns/op",HSQLDB,1000,
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,1955.141521,11.647845,"ns/op",HSQLDB,1,true
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,2200.377448,22.666333,"ns/op",HSQLDB,1,false
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,6273.667358,55.149124,"ns/op",HSQLDB,10,true
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,7712.073330,33.349292,"ns/op",HSQLDB,10,false
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,47606.600602,542.162829,"ns/op",HSQLDB,100,true
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,62580.824161,256.023751,"ns/op",HSQLDB,100,false
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,463479.849712,5486.126473,"ns/op",HSQLDB,1000,true
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,613448.543834,3049.789612,"ns/op",HSQLDB,1000,false
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQueryForEach","avgt",1,100.000000,1999.719158,23.042324,"ns/op",HSQLDB,1,true
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQueryForEach","avgt",1,100.000000,2254.537785,29.408814,"ns/op",HSQLDB,1,false
