"Benchmark","QuerySize","Median","Error (99.9%)","Samples"
PureJdbc,"1",296074.87963441917,210.42512644304477,1482791
PureJdbc,"10",333163.75260084734,350.18650488717947,1318032
PureJdbc,"100",574581.1556755569,653.0222009080986,764436
PureJdbc,"1000",2964156.1792076,4775.200165156887,148208
JdbcMapperStatic,"1",297998.80338601326,241.29189796480674,1473237
JdbcMapperStatic,"10",331815.3064940992,335.3709708657449,1323386
JdbcMapperStatic,"100",573835.2348538697,647.0936982830767,765344
JdbcMapperStatic,"1000",2972317.1608625343,4712.1967204514885,147797
JdbcMapperDynamic,"1",301192.9229097495,209.96580452414224,1457720
JdbcMapperDynamic,"10",338878.1785401764,331.77449313549545,1295910
JdbcMapperDynamic,"100",588976.3598432526,722.1183508545629,745658
JdbcMapperDynamic,"1000",3113615.4494335824,5256.811621224183,141062
JdbcMapperDynamicNoAsm,"1",301210.73987519275,228.3368934570321,1457608
JdbcMapperDynamicNoAsm,"10",340340.51277218683,318.9244797720747,1290382
JdbcMapperDynamicNoAsm,"100",590759.174361906,635.3794781265362,743425
JdbcMapperDynamicNoAsm,"1000",3200507.908237231,5558.280289008932,137267
Roma,"1",314272.8230216569,275.43689986106057,1397154
Roma,"10",350022.0365982253,373.9616085013202,1254651
Roma,"100",606190.7321041274,849.3729012356342,724804
Roma,"1000",3318766.8798247273,5575.101842317832,132365
Sql2o,"1",315833.36946206115,274.147066951559,1390251
Sql2o,"10",359074.87708505546,331.15827620483896,1223049
Sql2o,"100",647603.1802979952,769.5599433682626,678266
Sql2o,"1000",3666300.9286155594,6156.830764970713,119774
Hibernate,"1",362131.5034267533,417.8539690956899,1212518
Hibernate,"10",418726.88150064735,467.85715425175744,1048934
Hibernate,"100",871213.6192533096,1182.281819908981,504225
Hibernate,"1000",6043717.146508042,21167.46789677615,72624
MyBatis,"1",500965.52440999483,453.4190584219642,876772
MyBatis,"10",578118.3680552631,582.5522887148252,759712
MyBatis,"100",1163504.16705302,1626.1972944616332,377461
MyBatis,"1000",7706996.072579087,22995.319388820662,56931
RowMapper,"1",331199.7280071075,298.93934321824287,1325917
RowMapper,"10",466055.7918452272,665.3742739361468,942491
RowMapper,"100",1819814.6690639732,3355.325761881821,241382
RowMapper,"1000",1.5557599533037458E7,43932.041497667786,28165
