"Benchmark","QuerySize","Median","Error (99.9%)","Samples"
PureJdbc,"1",68.6953207991448,0.21340487379220616,1190823
PureJdbc,"10",157.78908266207867,1.9560972404899462,1892476
PureJdbc,"100",996.4716064510196,10.759150910051975,1805234
PureJdbc,"1000",9414.330951911203,34.4618080442839,1464811
JdbcMapperStatic,"1",82.50073787868757,0.2039600090339437,1238686
JdbcMapperStatic,"10",406.03835676991156,7.723329953540946,1226146
JdbcMapperStatic,"100",3123.5008161667756,16.90744412688522,1108842
JdbcMapperStatic,"1000",32300.766588251066,56.219197161884495,1700767
JdbcMapperDynamic,"1",136.35694173927027,6.546171928046013,1175217
JdbcMapperDynamic,"10",694.1752253287069,8.74209123993248,1340708
JdbcMapperDynamic,"100",6102.037816192436,31.25590520709431,1134752
JdbcMapperDynamic,"1000",60784.42492927257,76.22185874527325,1806230
JdbcMapperDynamicNoAsm,"1",173.28869883968795,0.19873255219481553,1756855
JdbcMapperDynamicNoAsm,"10",1075.6342647676634,10.496069732810264,1673369
JdbcMapperDynamicNoAsm,"100",10034.72689916901,37.38888066009108,1375470
JdbcMapperDynamicNoAsm,"1000",98688.6801182358,96.2375687294528,1113030
Roma,"1",80.52891231244223,0.14530334959999167,1271275
Roma,"10",425.8092554117779,6.393811420246815,1159970
Roma,"100",3541.8517943104393,17.721145619375733,1856312
Roma,"1000",33100.49727369237,61.712126340375086,1659754
Sql2o,"1",3211.099007519732,22.299947367953017,1093523
Sql2o,"10",5840.79932489111,24.546947156622558,1189734
Sql2o,"100",32999.17182097129,57.46916866275996,1664046
Sql2o,"1000",305317.2414590233,402.18958788844964,359912
Jooq,"1",3211.099007519732,22.299947367953017,1093523
Jooq,"10",5840.79932489111,24.546947156622558,1189734
Jooq,"100",32999.17182097129,57.46916866275996,1664046
Jooq,"1000",305317.2414590233,402.18958788844964,359912
Hibernate,"1",20756.03475684213,58.57005734956851,1328314
Hibernate,"10",39628.93341981641,79.7204650821584,1386013
Hibernate,"100",212118.70614239137,308.90484089483283,518023
Hibernate,"1000",2035890.02598364,3587.995945981312,54034
MyBatis,"1",12708.596721828962,48.10846436236118,1089754
MyBatis,"10",44163.616140311926,81.3105170871854,1243173
MyBatis,"100",338195.7421185275,300.02168532250755,324971
MyBatis,"1000",3367548.4617503905,5517.087629646089,32667
RowMapper,"1",10896.845062416513,35.13772340598839,1266652
RowMapper,"10",109222.39445177915,137.7863578477641,1005872
RowMapper,"100",1067009.3016107122,1419.2089100969367,103060
RowMapper,"1000",1.0676168563031709E7,19083.708093744775,10344
