"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: limit"
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,10120.975372,73.586169,"ns/op",1
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,13495.898496,128.310892,"ns/op",5
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,16852.636408,191.145426,"ns/op",10
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,81711.563915,397.077931,"ns/op",100
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,753556.806673,5617.003846,"ns/op",1000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,7504974.499157,44456.380760,"ns/op",10000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,131484.218412,504.437252,"ns/op",1
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,142348.605011,451.040278,"ns/op",5
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,156957.885356,442.934990,"ns/op",10
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,392702.446491,1458.499707,"ns/op",100
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,2690493.690280,21013.602563,"ns/op",1000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,26104320.271048,129924.359091,"ns/op",10000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,8283.437276,68.946832,"ns/op",1
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,9586.522326,84.169076,"ns/op",5
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,11560.026314,65.917470,"ns/op",10
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,49812.330731,676.910266,"ns/op",100
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,412058.531397,1214.845709,"ns/op",1000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,4172664.709288,10499.547677,"ns/op",10000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperFinal","avgt",1,100.000000,8459.678235,71.028713,"ns/op",1
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperFinal","avgt",1,100.000000,10316.895334,55.303896,"ns/op",5
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperFinal","avgt",1,100.000000,12432.252060,91.909737,"ns/op",10
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperFinal","avgt",1,100.000000,50878.876488,530.197887,"ns/op",100
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperFinal","avgt",1,100.000000,491636.538403,1558.363080,"ns/op",1000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperFinal","avgt",1,100.000000,4786196.873167,28689.793567,"ns/op",10000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsm","avgt",1,100.000000,8564.708075,66.394616,"ns/op",1
