benchmark,object,query size,10%,20%,30%,40%,50%,60%,70%,80%,90%,95%,99%,min,avg,max
PureJdbcBenchmark,SmallBenchmarkObject,00001,00294.00,00295.00,00295.00,00296.00,00297.00,00297.00,00298.00,00299.00,00302.00,00312.00,00508.00,00287.00,00313.89,2055168.00
PureJdbcBenchmark,SmallBenchmarkObject,00010,00542.00,00544.00,00544.00,00546.00,00547.00,00549.00,00551.00,00554.00,00563.00,00572.00,00634.00,00538.00,00559.41,1169408.00
PureJdbcBenchmark,SmallBenchmarkObject,00100,02958.00,02962.00,02964.00,02966.00,02968.00,02970.00,02972.00,02978.00,02994.00,03032.00,03216.00,02938.00,03013.92,1374208.00
PureJdbcBenchmark,SmallBenchmarkObject,01000,27136.00,27136.00,27152.00,27152.00,27168.00,27184.00,27216.00,27264.00,27344.00,27472.00,32224.00,26896.00,27546.07,1463296.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,00001,00319.00,00320.00,00321.00,00322.00,00323.00,00323.00,00324.00,00325.00,00327.00,00334.00,00538.00,00314.00,00339.88,2287616.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,00010,00606.00,00608.00,00609.00,00611.00,00613.00,00615.00,00617.00,00621.00,00627.00,00636.00,00696.00,00594.00,00625.56,1393664.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,00100,03054.00,03060.00,03064.00,03068.00,03070.00,03074.00,03078.00,03088.00,03144.00,03294.00,03394.00,03004.00,03129.89,1343488.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,01000,33664.00,33728.00,33760.00,33792.00,33792.00,33824.00,33888.00,33984.00,34176.00,34688.00,43616.00,33280.00,34307.62,1467392.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,00001,00346.00,00347.00,00348.00,00348.00,00349.00,00350.00,00350.00,00352.00,00355.00,00359.00,00570.00,00340.00,00371.37,5189632.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,00010,00637.00,00639.00,00640.00,00641.00,00643.00,00645.00,00647.00,00649.00,00654.00,00667.00,01041.00,00628.00,00661.35,1284096.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,00100,03172.00,03192.00,03202.00,03208.00,03212.00,03218.00,03224.00,03232.00,03284.00,03392.00,03614.00,03034.00,03266.59,1408000.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,01000,44192.00,44224.00,44224.00,44256.00,44256.00,44288.00,44320.00,44352.00,44480.00,44640.00,51232.00,43936.00,44674.22,1495040.00
DynamicNoAsmJdbcMapperForEachBenchmark,SmallBenchmarkObject,00001,00438.00,00439.00,00441.00,00442.00,00443.00,00444.00,00445.00,00447.00,00450.00,00454.00,00649.00,00420.00,00466.26,5279744.00
DynamicNoAsmJdbcMapperForEachBenchmark,SmallBenchmarkObject,00010,01559.00,01559.00,01561.00,01562.00,01563.00,01564.00,01566.00,01571.00,01578.00,01589.00,01974.00,01553.00,01583.10,1390592.00
DynamicNoAsmJdbcMapperForEachBenchmark,SmallBenchmarkObject,00100,12392.00,12392.00,12400.00,12400.00,12400.00,12408.00,12408.00,12416.00,12472.00,12528.00,12824.00,12216.00,12474.20,1399808.00
DynamicNoAsmJdbcMapperForEachBenchmark,SmallBenchmarkObject,01000,120448.00,120512.00,120512.00,120576.00,120576.00,120640.00,120640.00,120768.00,120960.00,122368.00,126464.00,118464.00,121164.93,1573888.00
RomaBenchmark,SmallBenchmarkObject,00001,00305.00,00306.00,00307.00,00308.00,00309.00,00310.00,00312.00,00314.00,00318.00,00327.00,00516.00,00301.00,00340.03,5324800.00
RomaBenchmark,SmallBenchmarkObject,00010,00628.00,00630.00,00630.00,00632.00,00633.00,00634.00,00636.00,00640.00,00646.00,00654.00,00707.00,00622.00,00647.16,1994752.00
RomaBenchmark,SmallBenchmarkObject,00100,03742.00,03744.00,03744.00,03746.00,03748.00,03750.00,03752.00,03758.00,03778.00,03814.00,03900.00,03732.00,03800.18,1583104.00
RomaBenchmark,SmallBenchmarkObject,01000,34720.00,34720.00,34720.00,34752.00,34752.00,34752.00,34784.00,34816.00,34912.00,35040.00,36896.00,34688.00,35172.02,1716224.00
Sql2OBenchmark,SmallBenchmarkObject,00001,03264.00,03274.00,03282.00,03288.00,03294.00,03300.00,03308.00,03318.00,03336.00,03360.00,04128.00,03192.00,03343.79,5181440.00
Sql2OBenchmark,SmallBenchmarkObject,00010,05924.00,05932.00,05940.00,05948.00,05956.00,05960.00,05972.00,05984.00,06004.00,06032.00,06256.00,05860.00,06015.13,1474560.00
Sql2OBenchmark,SmallBenchmarkObject,00100,32720.00,32736.00,32752.00,32768.00,32768.00,32800.00,32832.00,32864.00,32960.00,33152.00,35552.00,32528.00,33071.37,1491968.00
Sql2OBenchmark,SmallBenchmarkObject,01000,309760.00,309760.00,310016.00,310016.00,310272.00,310272.00,310784.00,311552.00,313344.00,317952.00,320256.00,308224.00,312883.49,5787648.00
HibernateStatefullBenchmark,SmallBenchmarkObject,00001,22304.00,22432.00,22544.00,22640.00,22752.00,22896.00,23216.00,23536.00,23776.00,24944.00,27168.00,21616.00,23192.78,1898496.00
HibernateStatefullBenchmark,SmallBenchmarkObject,00010,39520.00,39744.00,39936.00,40096.00,40288.00,40512.00,40864.00,41280.00,41760.00,42528.00,48672.00,38368.00,40849.06,1958912.00
HibernateStatefullBenchmark,SmallBenchmarkObject,00100,213376.00,214784.00,216448.00,217088.00,217600.00,217984.00,218496.00,219136.00,220800.00,224384.00,229376.00,209280.00,218584.62,2308096.00
HibernateStatefullBenchmark,SmallBenchmarkObject,01000,1843200.00,1870848.00,1878016.00,1880064.00,1883136.00,1885184.00,1888256.00,1891328.00,1895424.00,1901568.00,2031616.00,1820672.00,1888704.27,5742592.00
MyBatisBenchmark,SmallBenchmarkObject,00001,11376.00,11408.00,11440.00,11464.00,11488.00,11504.00,11528.00,11560.00,11608.00,11656.00,12792.00,11152.00,11591.23,5275648.00
MyBatisBenchmark,SmallBenchmarkObject,00010,39360.00,39424.00,39488.00,39552.00,39616.00,39680.00,39744.00,39808.00,39936.00,40064.00,48064.00,38688.00,39926.43,1665024.00
MyBatisBenchmark,SmallBenchmarkObject,00100,318720.00,319744.00,320256.00,320768.00,321280.00,322048.00,322560.00,323584.00,325632.00,331264.00,335104.00,313344.00,323575.75,2011136.00
